SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1156.40,1198.00,1152.55,1194.55,1193.05,1158.70,278,2619,3084702.00,
500003,AEGIS LOGIS ,A ,Q,236.50,248.00,228.30,230.05,230.05,238.70,613,35313,8323248.00,
500008,AMAR RAJA BA,A ,Q,770.00,781.60,762.20,776.40,779.50,774.75,490,11738,9086422.00,
500009,A.SARABHAI  ,XT,Q,11.50,12.35,11.50,12.24,12.30,11.93,43,44498,539253.00,
500010,HDFC        ,A ,Q,1850.00,1860.45,1837.85,1854.65,1854.65,1847.05,886,16108,29805441.00,
500012,ANDHRA PETRO,X ,Q,39.00,45.80,39.00,44.85,44.85,39.85,431,90456,3854577.00,
500013,ANSAL INFRAS,B ,Q,14.65,15.30,14.60,15.15,15.25,15.15,38,4584,68910.00,
500014,APPLE FINANC,XT,Q,1.79,1.87,1.71,1.87,1.87,1.79,16,21794,38247.00,
500016,ARUNA HOTEL ,XT,Q,23.50,23.50,23.50,23.50,23.50,24.70,8,500,11750.00,
500020,BOM DYEING  ,A ,Q,209.00,220.45,209.00,215.35,215.35,220.00,9505,1569554,333426406.00,
500023,ASIANHOTNR  ,B ,Q,241.00,250.00,241.00,250.00,250.00,250.05,5,138,33415.00,
500024,ASSAMCO     ,B ,Q,3.70,3.78,3.65,3.66,3.65,3.72,81,85918,317306.00,
500027,ATUL LTD.   ,A ,Q,2770.00,2780.00,2728.00,2742.70,2728.00,2757.20,109,11665,32100818.00,
500028,ATV PROJECTS,XT,Q,8.37,9.14,8.37,8.53,8.53,8.71,19,3975,34809.00,
500029,AUTOLITE(I) ,B ,Q,56.80,58.00,51.85,52.55,52.55,56.05,245,30054,1599818.00,
500031,BAJAJ ELECT.,A ,Q,488.00,550.00,475.00,534.35,534.35,492.45,4823,173378,89054204.00,
500032,BAJAJHIND   ,A ,Q,7.16,7.45,7.00,7.14,7.14,7.09,1249,1795792,12833081.00,
500033,FORCE MOTR  ,B ,Q,2631.00,2714.00,2619.65,2667.80,2667.80,2642.85,2366,15347,40921156.00,
500034,BAJFINANCE  ,A ,Q,2119.00,2169.65,2109.00,2155.00,2155.00,2100.70,4334,112157,240273695.00,
