SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1233.85,1254.80,1227.15,1244.45,1246.10,1233.85,613,58033,71469691.00,
500003,AEGIS LOGIS ,A ,Q,204.55,209.00,202.45,204.75,204.75,206.05,221,5165,1059838.00,
500008,AMAR RAJA BA,A ,Q,744.00,751.70,740.00,747.45,747.80,734.90,565,18814,14072685.00,
500009,A.SARABHAI  ,X ,Q,11.70,11.99,11.30,11.83,11.55,11.80,63,20904,246801.00,
500010,HDFC        ,A ,Q,1861.00,1889.50,1860.00,1885.20,1885.20,1860.55,2640,84225,157950002.00,
500012,ANDHRA PETRO,X ,Q,58.65,59.50,57.50,58.80,58.80,58.10,299,65356,3834937.00,
500013,ANSAL INFRAS,B ,Q,11.85,12.35,11.43,11.60,11.46,11.90,166,33453,395980.00,
500014,APPLE FINANC,XT,Q,1.90,1.90,1.72,1.90,1.90,1.81,11,2102,3687.00,
500020,BOM DYEING  ,B ,Q,119.00,124.90,119.00,122.45,122.45,117.95,4937,552682,67474682.00,
500024,ASSAMCO     ,T ,Q,2.65,2.65,2.57,2.62,2.62,2.53,253,1333632,3502197.00,
500027,ATUL LTD.   ,A ,Q,3404.80,3436.05,3400.00,3411.40,3400.00,3410.00,224,6434,21990240.00,
500028,ATV PROJECTS,XT,Q,6.03,6.65,6.03,6.65,6.65,6.34,25,2564,16702.00,
500029,AUTOLITE(I) ,B ,Q,33.70,39.90,33.70,39.00,39.00,33.25,151,16512,634125.00,
500031,BAJAJ ELECT.,A ,Q,478.05,483.00,473.65,475.20,475.20,478.10,828,24537,11712277.00,
500032,BAJAJHIND   ,B ,Q,8.86,9.22,8.86,9.10,9.10,8.89,513,577509,5252528.00,
500033,FORCE MOTR  ,A ,Q,1704.00,1738.90,1683.00,1701.85,1701.85,1677.75,3317,55742,95370945.00,
500034,BAJFINANCE  ,A ,Q,2710.00,2769.00,2702.30,2764.20,2764.20,2694.20,3627,77992,213969097.00,
500038,BALRAM.CHINI,A ,Q,137.50,144.00,137.50,141.45,141.45,137.25,3117,345251,48896573.00,
500039,BANCO PROD. ,B ,Q,158.00,168.35,158.00,164.65,164.50,157.25,244,11949,1961593.00,
500040,CENTURY TEXT,A ,Q,859.40,874.50,847.40,851.85,851.85,859.40,844,33048,28447892.00,
500041,BANNARI AMAN,B ,Q,1634.00,1653.35,1620.00,1625.00,1625.00,1564.35,12,55,90509.00,
500042,BASF INDIA  ,A ,Q,1390.30,1429.90,1390.30,1414.00,1400.65,1389.65,250,1165,1653020.00,
500043,BATA INDIA  ,A ,Q,1301.00,1348.10,1301.00,1344.40,1344.40,1306.45,3181,162343,216618023.00,
500048,BEML LTD    ,A ,Q,912.25,949.00,903.30,911.10,911.10,908.20,4992,228072,210716807.00,
