SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1265.25,1276.25,1260.20,1265.35,1265.00,1265.30,535,20805,26384084.00,
500003,AEGIS LOGIS ,A ,Q,207.00,208.00,203.40,205.80,205.00,206.10,321,8527,1765219.00,
500008,AMAR RAJA BA,A ,Q,743.30,749.20,739.65,745.60,747.05,737.45,198,6964,5180409.00,
500009,A.SARABHAI  ,X ,Q,11.40,12.48,11.40,12.05,12.05,11.67,91,21975,265246.00,
500010,HDFC        ,A ,Q,1889.70,1903.60,1885.60,1897.30,1897.00,1883.90,2154,66049,125137190.00,
500012,ANDHRA PETRO,X ,Q,57.00,60.00,57.00,59.35,59.00,57.40,240,45314,2695195.00,
500013,ANSAL INFRAS,B ,Q,11.33,11.36,11.06,11.29,11.33,11.32,32,6961,78299.00,
500014,APPLE FINANC,XT,Q,1.98,2.18,1.98,2.10,2.10,2.08,21,2529,5235.00,
500020,BOM DYEING  ,A ,Q,115.50,119.00,115.20,116.00,116.00,115.70,1872,189833,22182864.00,
500024,ASSAMCO     ,T ,Q,2.45,2.45,2.35,2.37,2.37,2.47,109,316150,744735.00,
500027,ATUL LTD.   ,A ,Q,3386.95,3387.00,3315.00,3325.60,3355.00,3334.10,318,3022,10134959.00,
500028,ATV PROJECTS,XT,Q,7.00,7.35,6.68,7.32,7.35,7.00,40,15501,110284.00,
500029,AUTOLITE(I) ,B ,Q,39.20,41.00,38.25,38.80,38.80,38.20,91,8106,322369.00,
500031,BAJAJ ELECT.,A ,Q,502.00,502.50,488.25,501.35,500.00,490.35,889,20951,10428868.00,
500032,BAJAJHIND   ,B ,Q,8.90,9.00,8.71,8.78,8.78,8.83,447,532480,4682924.00,
500033,FORCE MOTR  ,A ,Q,1733.80,1834.90,1726.00,1816.35,1816.35,1727.20,5418,84087,150639613.00,
500034,BAJFINANCE  ,A ,Q,2770.00,2805.60,2769.95,2790.10,2790.10,2766.65,3848,66121,184551341.00,
500038,BALRAM.CHINI,A ,Q,135.50,136.80,130.55,133.65,133.65,135.50,2053,225943,29931010.00,
500039,BANCO PROD. ,B ,Q,160.00,161.90,158.50,159.85,159.85,160.00,87,5018,806142.00,
