SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1237.40,1247.20,1230.00,1235.80,1235.90,1248.80,338,4575,5676423.00,
500003,AEGIS LOGIS ,A ,Q,197.50,204.55,193.00,200.50,198.85,199.40,503,7165,1427809.00,
500008,AMAR RAJA BA,A ,Q,730.10,734.95,718.30,729.80,729.80,732.10,349,11723,8518335.00,
500009,A.SARABHAI  ,X ,Q,11.55,12.09,11.46,11.63,11.80,11.78,32,8558,99244.00,
500010,HDFC        ,A ,Q,1878.20,1894.45,1850.00,1853.55,1853.55,1894.85,2971,74806,139425902.00,
500012,ANDHRA PETRO,X ,Q,55.00,55.90,52.60,54.60,54.30,56.25,225,34424,1869875.00,
500013,ANSAL INFRAS,B ,Q,11.20,11.47,10.50,11.15,11.15,12.08,205,28785,320338.00,
500014,APPLE FINANC,XT,Q,1.62,1.70,1.62,1.70,1.70,1.62,8,9807,16575.00,
500016,ARUNAHTEL   ,XT,Q,7.50,7.50,7.50,7.50,7.50,7.61,4,400,3000.00,
500020,BOM DYEING  ,B ,Q,111.40,112.70,108.45,110.90,110.90,114.05,2285,180070,19958341.00,
500023,ASIANHOTNR  ,B ,Q,140.00,145.00,140.00,144.50,144.50,138.00,4,452,65189.00,
500024,ASSAMCO     ,B ,Q,2.68,2.68,2.68,2.68,2.68,2.82,19,12422,33290.00,
500027,ATUL LTD.   ,A ,Q,3318.65,3324.45,3285.00,3309.55,3314.00,3324.25,291,1432,4725639.00,
500028,ATV PROJECTS,XT,Q,6.32,6.32,5.80,5.80,5.80,6.02,22,2311,14528.00,
500029,AUTOLITE(I) ,B ,Q,29.15,29.15,29.15,29.15,29.15,29.65,1,500,14575.00,
500031,BAJAJ ELECT.,A ,Q,460.00,460.00,447.25,454.15,453.00,464.45,315,7868,3564369.00,
500032,BAJAJHIND   ,B ,Q,8.50,8.66,8.15,8.40,8.40,8.79,534,540664,4555992.00,
500033,FORCE MOTR  ,A ,Q,1413.45,1413.45,1372.35,1382.55,1382.55,1420.45,1185,18967,26277108.00,
500034,BAJFINANCE  ,A ,Q,2645.00,2678.00,2600.00,2652.75,2652.75,2659.80,4514,70983,187666128.00,
500038,BALRAM.CHINI,A ,Q,126.70,131.50,123.10,129.75,129.75,130.65,3439,407953,52058432.00,
500039,BANCO PROD. ,B ,Q,149.00,149.00,144.10,146.30,147.00,152.05,97,5060,739992.00,
500040,CENTURY TEXT,A ,Q,767.00,801.35,767.00,797.25,794.00,791.05,769,31135,24547472.00,
500041,BANNARI AMAN,B ,Q,1564.00,1564.00,1480.00,1505.00,1505.00,1560.00,26,71,106612.00,
500042,BASF INDIA  ,A ,Q,1301.95,1305.90,1270.15,1285.60,1276.00,1308.70,117,486,624116.00,
500043,BATA INDIA  ,A ,Q,1300.00,1314.00,1282.00,1310.10,1310.10,1311.80,1433,33687,43738168.00,
500048,BEML LTD    ,A ,Q,811.00,827.85,795.45,823.85,823.85,824.85,1899,79775,64911153.00,
500049,BHARAT ELECT,A ,Q,79.95,80.55,77.45,79.80,79.80,80.85,3037,677170,53594147.00,
500052,BHANSALI ENG,B ,Q,62.95,62.95,60.00,60.25,60.25,63.75,1144,175109,10741888.00,
500055,TATASTLBSL  ,T ,Q,27.55,28.25,26.50,27.15,27.20,27.60,382,119683,3256641.00,
500058,BIHAR SPONGE,XT,Q,0.92,0.93,0.92,0.92,0.92,0.93,9,2544,2340.00,
500059,BINANI IND. ,B ,Q,34.00,39.45,34.00,39.20,39.45,35.90,85,6789,258468.00,
500060,BIRLACABLE  ,B ,Q,162.20,166.00,156.50,160.70,161.70,167.25,432,11449,1862027.00,
500067,BLUE STAR   ,A ,Q,598.75,624.00,585.35,616.60,612.60,610.50,246,1691,1026313.00,
