SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1314.95,1324.00,1302.15,1307.60,1307.60,1303.85,441,4805,6316951.00,
500003,AEGIS LOGIS ,A ,Q,204.75,205.70,204.00,204.55,204.00,204.10,160,8213,1679544.00,
500008,AMAR RAJA BA,A ,Q,749.95,750.80,730.00,734.05,734.05,746.10,495,16373,12086508.00,
500009,A.SARABHAI  ,X ,Q,13.50,13.98,13.32,13.56,13.61,13.05,166,48317,660834.00,
500010,HDFC        ,A ,Q,1980.00,1994.80,1956.00,1964.00,1964.00,1977.00,2321,59883,118131858.00,
500012,ANDHRA PETRO,X ,Q,59.90,59.90,58.00,58.10,58.00,58.95,178,45433,2666283.00,
500013,ANSAL INFRAS,B ,Q,11.40,11.65,11.27,11.42,11.50,11.56,38,7306,83323.00,
500014,APPLE FINANC,XT,Q,1.89,1.89,1.89,1.89,1.89,1.89,2,12,22.00,
500016,ARUNAHTEL   ,XT,Q,7.90,8.25,7.51,8.25,8.25,7.90,5,601,4592.00,
500020,BOM DYEING  ,A ,Q,134.35,149.30,134.00,145.30,145.30,133.30,20332,2030586,294087204.00,
500023,ASIANHOTNR  ,B ,Q,142.05,142.05,140.00,140.25,140.00,141.00,5,338,47585.00,
500024,ASSAMCO     ,T ,Q,2.29,2.47,2.28,2.30,2.35,2.40,97,148648,343002.00,
500027,ATUL LTD.   ,A ,Q,3274.00,3332.35,3271.05,3317.60,3332.35,3286.40,110,1299,4292016.00,
500028,ATV PROJECTS,XT,Q,7.04,7.40,6.98,6.98,6.98,7.34,22,6951,48967.00,
500029,AUTOLITE(I) ,B ,Q,38.00,39.90,36.65,39.50,39.50,37.50,48,2469,93115.00,
500031,BAJAJ ELECT.,A ,Q,517.00,519.80,505.15,507.60,507.60,515.25,551,10393,5298574.00,
500032,BAJAJHIND   ,B ,Q,8.50,8.68,8.36,8.41,8.41,8.48,218,215557,1824210.00,
500033,FORCE MOTR  ,A ,Q,1728.00,1728.95,1670.10,1684.90,1684.90,1721.80,2370,21740,36851711.00,
500034,BAJFINANCE  ,A ,Q,2864.00,2941.00,2847.60,2926.05,2941.00,2859.70,4539,67599,195899134.00,
500038,BALRAM.CHINI,A ,Q,133.00,137.75,132.20,133.45,133.45,132.85,1343,142629,19175395.00,
500039,BANCO PROD. ,B ,Q,161.05,163.80,160.00,160.00,160.00,160.25,40,1817,292589.00,
500040,CENTURY TEXT,A ,Q,889.90,890.25,867.95,882.85,882.85,886.70,809,33252,29230106.00,
500042,BASF INDIA  ,A ,Q,1412.50,1424.40,1370.00,1382.70,1370.00,1391.25,200,20078,27932111.00,
500043,BATA INDIA  ,A ,Q,1374.00,1374.00,1331.00,1342.05,1340.00,1373.90,1633,48222,64904686.00,
500048,BEML LTD    ,A ,Q,972.00,1012.40,971.90,995.15,995.15,963.85,6557,270321,270142992.00,
500049,BHARAT ELECT,A ,Q,95.40,96.20,93.45,94.45,94.45,94.80,3722,925689,87810113.00,
500052,BHANSALI ENG,B ,Q,73.75,75.80,72.55,73.45,73.45,73.25,1150,269086,19837165.00,
500055,TATASTLBSL  ,T ,Q,30.20,30.35,29.10,29.95,29.95,30.15,203,42290,1263227.00,
500058,BIHAR SPONGE,XT,Q,0.88,0.88,0.87,0.88,0.88,0.87,6,4602,4043.00,
500059,BINANI IND. ,T ,Q,43.50,43.65,41.65,41.75,41.75,43.80,66,4863,205005.00,
500060,BIRLACABLE  ,B ,Q,158.00,158.40,148.50,154.50,154.00,161.30,402,32841,5046544.00,
500067,BLUE STAR   ,A ,Q,672.25,675.00,666.80,670.75,675.00,665.15,274,8740,5864822.00,
500068,DISA INDIA  ,X ,Q,5900.00,6090.00,5900.00,6000.00,6000.00,6089.25,6,361,2183491.00,
500069,BNK CAPITAL ,X ,Q,91.25,91.25,90.85,90.85,90.85,86.95,2,7,636.00,
500074,BPL LTD.    ,B ,Q,29.00,29.40,28.55,28.90,28.70,28.70,102,16340,474178.00,
500078,OAL         ,X ,Q,252.70,259.95,241.10,244.50,245.85,252.70,116,3885,968349.00,
500083,CENTURY EXT ,B ,Q,6.20,6.20,6.05,6.12,6.05,6.19,18,6427,39313.00,
500084,CESC LTD.   ,A ,Q,725.00,738.50,724.05,733.50,733.00,721.30,554,9750,7137171.00,
500085,CHAMBAL FERT,A ,Q,166.30,167.15,161.90,162.50,162.50,165.80,358,14170,2325984.00,
500086,EXIDE IND.  ,A ,Q,229.60,231.60,226.30,228.05,228.05,229.10,983,56507,12914046.00,
500087,CIPLA LTD.  ,A ,Q,534.00,536.25,529.05,534.55,536.00,531.75,651,43076,22975257.00,
500089,DIC INDIA   ,B ,Q,360.00,360.00,350.05,352.50,351.00,364.00,20,349,124308.00,
500092,CRISIL LTD  ,A ,Q,1453.00,1479.00,1449.30,1469.00,1478.80,1446.40,185,1076,1578242.00,
500093,CGPOWER     ,A ,Q,44.10,45.00,43.55,44.60,44.60,43.90,3208,1304473,57851685.00,
500096,DABUR (I)   ,A ,Q,428.45,429.50,423.20,428.90,427.95,425.35,1183,84715,36146995.00,
500097,DALMIASUG   ,B ,Q,119.50,122.15,112.00,116.50,116.50,119.05,409,25687,3042879.00,
500101,ARVIND Ltd  ,A ,Q,95.80,95.95,91.00,92.35,92.35,95.15,1654,265883,24979811.00,
500102,BALARPUR IND,B ,Q,3.40,3.40,3.09,3.11,3.11,3.22,301,596294,1915113.00,
500103,BHEL        ,A ,Q,68.00,69.20,66.50,67.10,67.10,67.70,1998,911796,61297801.00,
500104,HIND.PETRO  ,A ,Q,278.25,287.60,277.00,286.75,286.75,276.45,5501,477964,135417652.00,
500106,IFCI LTD    ,A ,Q,13.70,13.85,13.52,13.61,13.61,13.65,1954,203281,2773580.00,
500108,MAHA.TELE   ,B ,Q,13.20,13.50,13.01,13.14,13.14,13.17,259,152432,1995836.00,
500109,MRPL        ,A ,Q,73.40,74.65,72.00,72.95,72.60,73.40,430,83391,6096589.00,
500110,CHENNAI PET.,A ,Q,264.00,269.80,264.00,267.30,267.30,264.30,1013,29474,7859795.00,
500111,REL.CAP.    ,A ,Q,175.25,181.95,174.00,180.10,180.10,173.95,12721,2110331,376092353.00,
500112,STATE BANK  ,A ,Q,298.40,300.75,294.30,298.45,298.45,297.70,11174,3018009,894354584.00,
500113,STEEL AUTH. ,A ,Q,52.05,54.30,51.05,53.60,53.60,51.55,3593,3263922,170720978.00,
500114,TITAN       ,A ,Q,1098.00,1109.00,1093.00,1102.30,1109.00,1095.45,1640,63297,69681812.00,
500116,IDBI BANK L ,A ,Q,43.50,43.65,42.75,43.40,43.40,42.90,2826,1576876,67965574.00,
500117,DCW LTD.    ,B ,Q,19.75,19.80,19.15,19.25,19.25,19.50,354,93706,1810602.00,
500119,DHAMPUR SUGA,B ,Q,226.50,229.60,220.30,221.40,221.40,224.95,772,44949,10107660.00,
500120,DIAMINES&CHM,X ,Q,118.00,122.00,115.10,117.90,118.50,121.10,57,8914,1055894.00,
500123,ELANTAS     ,B ,Q,2365.00,2365.00,2250.05,2299.00,2299.00,2275.75,67,146,334540.00,
500124,DR.REDDY'S  ,A ,Q,2654.00,2696.00,2641.10,2669.45,2669.45,2659.80,943,18289,48663088.00,
500125,E.I.D.PAR   ,A ,Q,212.60,214.90,210.25,210.95,210.60,215.20,178,6829,1447842.00,
500126,MERCK LTD   ,A ,Q,3360.00,3380.00,3310.00,3341.35,3331.00,3374.25,407,1880,6275583.00,
500128,ELEC.CASTING,B ,Q,20.60,21.00,20.00,20.20,20.35,20.90,89,13670,278165.00,
500132,EMPEE SUGARS,XT,Q,1.14,1.14,1.14,1.14,1.14,1.19,2,187,213.00,
500133,ESAB INDIA  ,B ,Q,904.05,909.80,895.00,895.60,895.00,897.85,8,94,84726.00,
500135,ESSEL PROP  ,B ,Q,118.25,118.65,116.90,118.10,118.00,118.45,104,5187,610651.00,
500136,ESTER INDUS.,B ,Q,36.00,36.85,35.45,36.10,36.10,36.25,98,6699,242706.00,
500139,FEDDERELEC  ,Z ,Q,8.03,8.03,8.03,8.03,8.03,8.45,24,4621,37106.00,
500141,FERRO ALLOYS,X ,Q,4.54,4.78,4.40,4.68,4.78,4.59,103,35844,163360.00,
500142,FGP LTD.    ,XT,Q,2.83,2.97,2.83,2.97,2.97,2.83,10,4535,13066.00,
500143,P.H.CAPITAL ,Z ,Q,16.15,16.15,16.15,16.15,16.15,16.15,1,85,1372.00,
500144,FINOL. CABLE,A ,Q,489.00,500.00,486.00,491.00,492.65,487.80,466,9144,4522930.00,
500147,CMI FPE     ,X ,Q,1365.00,1365.00,1322.00,1348.25,1349.00,1340.00,57,1611,2165031.00,
500148,UFLEX LTD   ,A ,Q,222.90,225.60,219.10,221.20,219.10,222.90,126,3336,742151.00,
500150,FOSECO INDIA,B ,Q,1418.00,1418.00,1366.00,1374.85,1374.85,1385.65,17,96,132089.00,
500151,GOLDEN TOB  ,T ,Q,35.50,37.10,35.50,35.55,35.55,37.35,9,4875,177682.00,
500153,GANESH BENZO,X ,Q,51.90,51.90,50.65,51.05,51.05,51.55,96,11952,608448.00,
500155,GARDEN SILK ,B ,Q,21.60,21.70,20.60,20.75,20.75,21.85,69,4305,90546.00,
500159,METROGLOBL  ,X ,Q,54.00,55.00,53.95,55.00,55.00,54.95,12,310,16780.00,
500160,GTL LTD.    ,T ,Q,5.14,5.62,5.10,5.31,5.30,5.36,48,19560,104995.00,
500163,GODFREY PH  ,A ,Q,1090.00,1138.25,1074.70,1128.40,1128.40,1079.65,2016,49416,54879332.00,
500164,GODREJ IND  ,A ,Q,532.50,536.45,525.75,528.15,529.00,533.90,241,7294,3866157.00,
500165,KANSAI NERO ,A ,Q,472.45,476.50,458.65,464.85,464.45,465.05,599,13907,6474155.00,
500166,GOODRICKE   ,X ,Q,225.00,225.05,216.00,220.15,220.15,223.30,141,7924,1740550.00,
500168,GOODYEAR (I),B ,Q,921.00,934.00,912.00,914.55,914.55,922.55,147,5234,4826561.00,
500170,GTN INDUS   ,B ,Q,10.45,10.45,9.27,9.65,9.65,9.85,12,3974,40745.00,
500171,GHCL LTD    ,A ,Q,234.85,237.00,228.70,233.20,233.20,234.75,329,214044,49885881.00,
500173,GUJ.FLOURO  ,A ,Q,1057.50,1064.00,1034.40,1060.15,1064.00,1054.20,414,4810,5053698.00,
500179,HCL INFOSYS ,B ,Q,19.95,21.00,19.90,20.05,20.05,20.10,375,153186,3081396.00,
500180,HDFC BANK   ,A ,Q,2260.55,2290.90,2250.30,2261.45,2261.45,2251.50,4721,220779,499497982.00,
500182,HEROMOTOCO  ,A ,Q,2749.10,2763.55,2665.10,2671.50,2671.50,2739.05,3147,53937,145147265.00,
500183,HIMACHAL FUT,A ,Q,22.75,22.95,21.95,22.25,22.25,22.75,970,626508,14023843.00,
500184,HSCL        ,A ,Q,121.00,121.00,115.55,116.20,116.20,117.50,479,41577,4855382.00,
500185,HIND.CONSTN.,A ,Q,15.70,15.70,14.63,14.80,14.80,15.48,1689,704182,10597051.00,
500186,HIND.OIL EXP,B ,Q,126.90,128.90,125.40,127.60,127.60,125.80,513,41171,5225502.00,
500187,HSIL        ,B ,Q,263.40,268.00,263.05,264.60,264.60,262.65,300,6930,1840503.00,
500188,HINDUS.ZI   ,A ,Q,274.50,279.00,271.70,277.95,277.95,274.90,568,41825,11575820.00,
500189,HINDUJA VENT,B ,Q,355.30,355.30,345.05,346.35,346.30,355.20,29,551,192596.00,
500191,HMT LTD.    ,Z ,Q,22.00,22.20,21.90,22.05,22.15,22.80,13,2237,49268.00,
500192,PRAG BOSIMI ,XT,Q,3.10,3.10,3.08,3.08,3.08,3.20,8,1500,4644.00,
500193,HOTEL LEELA.,B ,Q,10.80,11.29,10.42,11.08,11.08,10.96,293,144577,1565981.00,
500199,I.G.PETRO   ,B ,Q,325.00,325.00,312.25,315.85,318.95,328.65,93,1670,527687.00,
500201,IND.GLYCOLS ,B ,Q,290.05,291.60,283.80,284.95,284.95,289.80,370,13618,3895688.00,
500207,INDO RAMA   ,T ,Q,34.85,35.10,34.85,35.10,35.10,35.00,6,2152,75354.00,
500209,INFOSYS LTD ,A ,Q,723.45,723.85,705.65,709.75,709.75,718.85,6812,866618,616602612.00,
500210,INGERSOLL   ,B ,Q,619.85,625.00,610.00,611.90,611.90,607.00,165,2215,1359357.00,
500211,INSILCO LTD.,X ,Q,18.80,20.40,18.80,19.10,19.10,19.00,31,7401,143515.00,
500213,INTER.TRAVEL,X ,Q,137.00,144.00,135.00,140.75,142.25,135.05,92,4600,633360.00,
500214,ION EXCHANGE,XT,Q,404.10,416.95,401.15,404.70,401.15,403.90,40,1679,680522.00,
500215,AGRO TECH FO,B ,Q,580.00,580.00,560.00,570.65,571.00,579.10,46,659,378428.00,
500219,JAIN IRRIG  ,A ,Q,62.70,62.80,60.60,61.10,61.10,62.00,1287,702296,43023935.00,
500220,JASCH INDUST,X ,Q,54.85,55.15,54.10,54.30,54.10,56.15,39,2982,163747.00,
500223,JCT LTD     ,X ,Q,1.69,1.76,1.61,1.62,1.64,1.69,77,130645,219915.00,
500227,JINDAL POLYF,B ,Q,252.95,252.95,246.10,246.85,246.85,252.40,56,2237,554979.00,
500228,JSWSL       ,A ,Q,290.20,296.00,286.70,295.10,295.10,288.35,2072,268999,78478385.00,
500231,UMANG DAIR  ,B ,Q,55.85,56.45,54.00,55.25,55.90,55.85,25,1651,91541.00,
500233,KAJARIA CER.,A ,Q,571.00,585.15,571.00,576.20,576.20,571.50,474,19861,11474093.00,
500234,KAKATIYA CEM,B ,Q,180.00,180.00,177.45,177.50,177.50,180.00,12,452,80548.00,
500235,KALYANI STEL,B ,Q,226.50,229.35,221.45,222.75,223.50,226.95,198,6180,1392994.00,
500238,WHIRLPOOL   ,A ,Q,1602.50,1602.50,1570.65,1572.90,1578.00,1591.45,229,2910,4613725.00,
500239,KG DENIM    ,X ,Q,51.55,52.00,51.10,51.60,51.75,52.00,49,10980,565091.00,
500240,KINETIC ENG.,X ,Q,38.50,38.90,37.50,38.90,38.90,38.50,6,214,8198.00,
