SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1256.65,1310.00,1250.00,1293.30,1293.30,1256.65,1396,16116,20765795.00,
500003,AEGIS LOGIS ,A ,Q,208.80,208.80,199.25,202.25,201.00,205.70,254,6986,1417461.00,
500008,AMAR RAJA BA,A ,Q,750.00,771.00,745.45,751.55,751.55,746.05,1625,58044,44165526.00,
500009,A.SARABHAI  ,X ,Q,12.41,13.45,12.15,13.15,13.25,12.15,197,82862,1069482.00,
500010,HDFC        ,A ,Q,1936.20,1962.80,1924.50,1951.20,1951.20,1931.95,3253,95583,186185230.00,
500012,ANDHRA PETRO,X ,Q,59.70,60.50,58.90,59.40,58.90,59.75,178,36354,2164944.00,
500013,ANSAL INFRAS,B ,Q,11.73,11.73,11.43,11.48,11.48,11.67,42,7500,86988.00,
500014,APPLE FINANC,XT,Q,2.00,2.00,1.90,1.90,1.90,2.00,13,920,1818.00,
500020,BOM DYEING  ,A ,Q,129.10,137.00,126.70,135.40,135.40,129.40,12468,1436309,191564409.00,
500023,ASIANHOTNR  ,B ,Q,141.20,152.00,141.20,146.00,146.00,143.00,5,402,59080.00,
500024,ASSAMCO     ,T ,Q,2.58,2.59,2.38,2.58,2.59,2.48,116,206161,504286.00,
500027,ATUL LTD.   ,A ,Q,3311.00,3349.90,3305.00,3327.50,3305.00,3313.15,57,286,951470.00,
500028,ATV PROJECTS,XT,Q,8.03,8.03,7.35,7.60,7.60,7.66,14,1549,11772.00,
500029,AUTOLITE(I) ,B ,Q,40.00,41.30,39.00,39.20,39.20,39.60,84,6666,264690.00,
500031,BAJAJ ELECT.,A ,Q,503.00,511.00,496.40,503.05,503.05,507.55,561,15040,7560542.00,
500032,BAJAJHIND   ,B ,Q,9.18,9.18,8.70,8.71,8.71,8.97,2989,269155,2375131.00,
500033,FORCE MOTR  ,A ,Q,1780.00,1820.00,1756.15,1762.90,1762.90,1783.25,3235,35799,63756330.00,
500034,BAJFINANCE  ,A ,Q,2796.00,2835.00,2750.25,2826.20,2826.20,2753.75,4183,92610,259344637.00,
500038,BALRAM.CHINI,A ,Q,134.30,134.70,129.95,130.65,130.65,135.15,1157,100032,13171194.00,
500039,BANCO PROD. ,B ,Q,163.85,164.85,159.25,161.15,161.15,163.25,162,8513,1368718.00,
500040,CENTURY TEXT,A ,Q,902.00,904.90,888.00,892.50,892.50,902.05,723,24463,21908817.00,
500042,BASF INDIA  ,A ,Q,1428.35,1477.95,1428.00,1472.35,1472.35,1430.55,339,1450,2112982.00,
500043,BATA INDIA  ,A ,Q,1367.95,1368.90,1342.50,1348.35,1349.00,1368.95,1017,29500,39827270.00,
500048,BEML LTD    ,A ,Q,909.90,979.70,895.45,972.05,972.05,906.30,10476,404483,384542539.00,
500049,BHARAT ELECT,A ,Q,91.45,94.05,88.00,93.45,93.45,91.15,4319,1127031,103559786.00,
500052,BHANSALI ENG,B ,Q,77.00,78.05,75.40,76.30,76.30,77.40,1020,160429,12298649.00,
500055,TATASTLBSL  ,T ,Q,30.00,30.40,29.30,29.50,29.50,30.00,204,56426,1672188.00,
500058,BIHAR SPONGE,XT,Q,0.88,0.88,0.87,0.87,0.87,0.88,14,5714,4981.00,
500059,BINANI IND. ,B ,Q,45.85,45.85,43.40,43.50,43.50,44.45,45,7063,311583.00,
500060,BIRLACABLE  ,B ,Q,173.60,173.75,166.75,168.75,168.75,173.25,247,9930,1676727.00,
500067,BLUE STAR   ,A ,Q,674.95,674.95,661.20,667.10,665.00,664.30,107,1114,741257.00,
500068,DISA INDIA  ,X ,Q,6095.00,6095.00,6000.00,6000.10,6000.00,6000.00,8,32,192177.00,
500069,BNK CAPITAL ,X ,Q,90.00,90.00,88.30,88.30,88.30,88.50,3,122,10789.00,
500074,BPL LTD.    ,B ,Q,30.00,30.50,29.35,29.60,29.35,30.00,77,9605,287437.00,
500078,OAL         ,X ,Q,242.50,244.50,235.25,236.75,238.55,243.95,49,2353,565315.00,
500083,CENTURY EXT ,B ,Q,6.50,6.50,6.15,6.15,6.15,6.30,10,11952,73508.00,
500084,CESC LTD.   ,A ,Q,735.55,739.75,726.50,729.85,730.00,727.65,1172,11762,8598553.00,
500085,CHAMBAL FERT,A ,Q,168.75,169.90,166.50,168.00,168.00,169.65,202,10728,1801880.00,
500086,EXIDE IND.  ,A ,Q,232.80,233.20,228.35,230.45,230.45,230.45,1133,64690,14910949.00,
500087,CIPLA LTD.  ,A ,Q,541.00,542.05,531.05,533.10,533.10,539.10,1385,84152,45046161.00,
500089,DIC INDIA   ,B ,Q,358.00,368.00,358.00,362.00,362.00,381.90,15,1297,475474.00,
500092,CRISIL LTD  ,A ,Q,1490.00,1495.00,1456.00,1479.10,1475.10,1493.20,130,631,932917.00,
500093,CGPOWER     ,A ,Q,42.40,43.20,40.60,41.90,41.90,42.45,6161,2792151,117291343.00,
500096,DABUR (I)   ,A ,Q,447.40,447.50,440.00,441.00,441.00,446.05,1090,76919,34023937.00,
500097,DALMIASUG   ,B ,Q,122.05,122.20,115.30,116.10,116.10,121.80,260,10695,1273699.00,
500101,ARVIND Ltd  ,A ,Q,93.35,93.40,90.50,92.15,92.15,93.35,2693,559918,51392361.00,
500102,BALARPUR IND,B ,Q,3.65,3.68,3.55,3.58,3.58,3.65,832,648279,2329367.00,
500103,BHEL        ,A ,Q,69.85,70.15,67.40,67.90,67.90,69.85,1558,529503,36287146.00,
500104,HIND.PETRO  ,A ,Q,262.90,269.50,256.00,267.55,267.55,261.70,3634,453690,119348221.00,
500106,IFCI LTD    ,A ,Q,13.78,13.94,13.66,13.83,13.83,13.84,16164,281459,3878014.00,
500108,MAHA.TELE   ,B ,Q,13.70,14.00,13.33,13.59,13.59,13.56,2270,320053,4369760.00,
500109,MRPL        ,A ,Q,73.00,74.20,72.35,73.20,73.30,73.15,500,110904,8100459.00,
500110,CHENNAI PET.,A ,Q,262.00,267.45,257.95,264.35,264.35,262.80,831,41198,10838890.00,
500111,REL.CAP.    ,A ,Q,189.65,190.40,186.60,187.95,187.95,189.70,3758,536103,101012523.00,
500112,STATE BANK  ,A ,Q,286.50,293.50,284.55,292.65,292.65,286.50,9369,1853310,535146262.00,
500113,STEEL AUTH. ,A ,Q,55.00,55.00,52.20,52.60,52.60,55.10,3358,2132917,112698471.00,
500114,TITAN       ,A ,Q,1090.80,1092.50,1066.10,1077.85,1077.85,1083.30,1648,65214,70347007.00,
500116,IDBI BANK L ,A ,Q,44.50,44.70,43.00,43.15,43.15,44.75,2694,1730247,75792662.00,
500117,DCW LTD.    ,B ,Q,17.15,17.40,16.95,17.00,17.00,17.10,156,113753,1952746.00,
500119,DHAMPUR SUGA,B ,Q,229.55,230.00,220.00,221.60,221.60,228.60,1080,70739,15828072.00,
500120,DIAMINES&CHM,X ,Q,126.50,126.50,116.50,119.45,120.00,120.50,221,15659,1912183.00,
500123,ELANTAS     ,B ,Q,2350.00,2399.00,2326.10,2383.40,2399.00,2349.60,150,583,1384433.00,
500124,DR.REDDY'S  ,A ,Q,2666.00,2708.50,2645.00,2654.30,2661.40,2666.65,1462,22388,60067529.00,
500125,E.I.D.PAR   ,A ,Q,215.00,221.95,212.00,214.20,214.20,215.25,638,33328,7248191.00,
500126,MERCK LTD   ,A ,Q,3478.20,3505.00,3420.00,3426.35,3426.35,3465.65,629,3566,12315496.00,
500128,ELEC.CASTING,B ,Q,21.50,21.50,20.65,21.20,21.25,21.65,130,23851,504382.00,
500132,EMPEE SUGARS,XT,Q,1.34,1.40,1.28,1.28,1.28,1.34,16,6359,8764.00,
500133,ESAB INDIA  ,B ,Q,926.00,949.00,916.10,936.25,936.25,930.20,23,315,294100.00,
500135,ESSEL PROP  ,B ,Q,111.90,111.90,108.10,109.30,109.50,111.15,98,6709,733162.00,
500136,ESTER INDUS.,B ,Q,38.10,41.15,38.10,39.95,39.95,38.60,291,28199,1131646.00,
500141,FERRO ALLOYS,X ,Q,4.99,4.99,4.50,4.83,4.80,4.84,134,47918,232462.00,
500142,FGP LTD.    ,XT,Q,2.58,2.70,2.46,2.70,2.70,2.58,17,4048,10812.00,
500143,P.H.CAPITAL ,Z ,Q,16.15,16.15,16.15,16.15,16.15,16.15,1,120,1938.00,
500144,FINOL. CABLE,A ,Q,464.00,473.00,458.45,470.65,470.65,465.90,412,8368,3917741.00,
500147,CMI FPE     ,X ,Q,1357.80,1358.00,1317.00,1325.60,1317.00,1330.00,49,491,658362.00,
500148,UFLEX LTD   ,A ,Q,224.05,226.20,223.10,223.65,223.65,225.95,163,6907,1551961.00,
500151,GOLDEN TOB  ,T ,Q,35.55,35.55,35.55,35.55,35.55,36.15,1,80,2844.00,
500153,GANESH BENZO,X ,Q,51.75,53.50,51.75,53.00,53.00,52.75,168,32345,1711395.00,
500155,GARDEN SILK ,B ,Q,22.50,22.85,21.75,22.20,22.00,23.00,60,7022,155873.00,
500159,METROGLOBL  ,X ,Q,56.95,56.95,51.10,51.70,51.10,52.10,10,121,6325.00,
500160,GTL LTD.    ,T ,Q,5.81,5.85,5.62,5.70,5.64,5.91,48,10548,60226.00,
500163,GODFREY PH  ,A ,Q,1040.00,1088.00,1033.50,1065.90,1065.90,1050.50,2371,55510,59114355.00,
500164,GODREJ IND  ,A ,Q,529.25,538.05,525.85,529.95,530.30,530.80,1487,31114,16526699.00,
500165,KANSAI NERO ,A ,Q,476.40,476.40,453.05,463.90,465.00,473.25,496,10558,4905561.00,
500166,GOODRICKE   ,X ,Q,241.50,241.50,232.10,235.05,235.65,240.30,139,8562,2023270.00,
500168,GOODYEAR (I),B ,Q,929.90,948.00,919.05,922.75,922.75,917.95,519,9247,8621888.00,
500170,GTN INDUS   ,B ,Q,10.00,10.99,9.66,10.35,10.35,10.47,6,17,173.00,
500171,GHCL LTD    ,A ,Q,244.60,248.45,242.05,244.25,245.55,243.15,350,73297,18012415.00,
500173,GUJ.FLOURO  ,A ,Q,1050.00,1065.00,1023.00,1058.90,1063.50,1054.30,709,3550,3723036.00,
500179,HCL INFOSYS ,B ,Q,21.85,21.90,21.10,21.30,21.15,21.75,2060,94587,2024409.00,
500180,HDFC BANK   ,A ,Q,2172.00,2233.00,2172.00,2226.10,2226.10,2170.60,10927,300447,664783284.00,
500182,HEROMOTOCO  ,A ,Q,2840.00,2840.00,2795.00,2806.10,2810.00,2811.90,1014,13409,37674687.00,
500183,HIMACHAL FUT,A ,Q,24.85,25.30,24.40,24.50,24.50,24.50,1015,636724,15759896.00,
500184,HSCL        ,A ,Q,124.15,124.50,122.10,122.55,123.00,124.05,386,28658,3519824.00,
500185,HIND.CONSTN.,A ,Q,14.70,14.80,14.27,14.41,14.29,14.55,647,293166,4253856.00,
500186,HIND.OIL EXP,B ,Q,126.05,134.65,126.05,131.25,131.25,127.60,1960,76099,10010253.00,
