SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1271.00,1280.10,1250.00,1256.65,1256.65,1265.35,487,16437,20768249.00,
500003,AEGIS LOGIS ,A ,Q,208.55,212.00,203.55,205.70,207.75,205.80,471,13481,2813372.00,
500008,AMAR RAJA BA,A ,Q,749.65,752.30,743.00,746.05,746.05,745.60,290,8529,6373063.00,
500009,A.SARABHAI  ,X ,Q,11.80,12.27,11.80,12.15,12.20,12.05,68,31333,380689.00,
500010,HDFC        ,A ,Q,1910.00,1936.00,1900.60,1931.95,1931.95,1897.30,2092,64502,123839650.00,
500012,ANDHRA PETRO,X ,Q,59.05,60.50,59.00,59.75,59.70,59.35,243,48709,2922699.00,
500013,ANSAL INFRAS,B ,Q,11.40,12.10,11.40,11.67,11.67,11.29,130,123078,1424065.00,
500014,APPLE FINANC,XT,Q,2.00,2.00,2.00,2.00,2.00,2.10,10,1787,3574.00,
500020,BOM DYEING  ,A ,Q,117.00,134.30,117.00,129.40,129.40,116.00,18102,1992340,255943362.00,
500023,ASIANHOTNR  ,B ,Q,144.00,144.00,143.00,143.00,143.00,144.00,2,400,57400.00,
500024,ASSAMCO     ,T ,Q,2.30,2.48,2.26,2.48,2.48,2.37,88,160815,395934.00,
500027,ATUL LTD.   ,A ,Q,3360.00,3360.00,3303.00,3313.15,3311.00,3325.60,180,901,2992996.00,
500028,ATV PROJECTS,XT,Q,7.50,7.68,7.25,7.66,7.68,7.32,17,5161,38625.00,
500029,AUTOLITE(I) ,B ,Q,40.50,41.00,39.55,39.60,39.55,38.80,46,2717,108817.00,
500031,BAJAJ ELECT.,A ,Q,506.00,510.00,497.20,507.55,510.00,501.35,909,22843,11527216.00,
500032,BAJAJHIND   ,B ,Q,8.85,9.08,8.71,8.97,8.92,8.78,2387,2888746,25944144.00,
500033,FORCE MOTR  ,A ,Q,1834.00,1863.00,1773.00,1783.25,1783.25,1816.35,4234,58851,107112648.00,
500034,BAJFINANCE  ,A ,Q,2815.00,2815.00,2745.00,2753.75,2753.75,2790.10,4009,79600,221439053.00,
500038,BALRAM.CHINI,A ,Q,133.60,136.70,131.25,135.15,135.15,133.65,1093,111322,15055244.00,
500039,BANCO PROD. ,B ,Q,163.00,164.85,162.00,163.25,163.20,159.85,68,2970,485372.00,
500040,CENTURY TEXT,A ,Q,885.00,907.55,881.00,902.05,902.05,879.85,1788,61512,55026053.00,
500041,BANNARI AMAN,B ,Q,1648.95,1680.00,1599.05,1599.05,1599.05,1591.05,14,35,57647.00,
500042,BASF INDIA  ,A ,Q,1440.00,1445.00,1417.20,1430.55,1429.45,1427.75,276,1337,1916420.00,
500043,BATA INDIA  ,A ,Q,1341.00,1374.00,1341.00,1368.95,1368.95,1339.15,2340,62535,85409591.00,
500048,BEML LTD    ,A ,Q,920.00,925.80,902.50,906.30,906.30,912.50,1534,53536,48841295.00,
500049,BHARAT ELECT,A ,Q,92.50,93.65,90.70,91.15,91.15,91.40,2982,799033,73671831.00,
500052,BHANSALI ENG,B ,Q,77.85,81.15,76.00,77.40,76.90,77.05,1425,214589,16966643.00,
500055,TATASTLBSL  ,T ,Q,29.95,30.50,29.90,30.00,30.00,29.90,306,53007,1598875.00,
500058,BIHAR SPONGE,XT,Q,0.88,0.88,0.88,0.88,0.88,0.88,5,710,624.00,
500059,BINANI IND. ,B ,Q,45.75,46.00,44.00,44.45,44.45,45.35,51,6303,286309.00,
500060,BIRLACABLE  ,B ,Q,175.00,176.40,172.00,173.25,173.25,172.05,172,5676,987582.00,
500067,BLUE STAR   ,A ,Q,658.00,672.45,658.00,664.30,663.15,658.05,158,2237,1491533.00,
500068,DISA INDIA  ,X ,Q,5951.00,6099.00,5951.00,6000.00,6000.00,6062.50,14,70,418988.00,
500069,BNK CAPITAL ,X ,Q,88.60,90.00,88.25,88.50,88.30,90.00,11,1010,89315.00,
500074,BPL LTD.    ,B ,Q,29.60,30.50,29.20,30.00,30.00,29.40,164,25879,769361.00,
500078,OAL         ,X ,Q,245.95,249.00,242.30,243.95,242.30,242.10,87,4832,1193431.00,
500083,CENTURY EXT ,B ,Q,6.30,6.35,6.15,6.30,6.30,6.26,38,34980,219527.00,
500084,CESC LTD.   ,A ,Q,721.20,743.00,721.20,727.65,724.00,720.90,1588,34268,25155315.00,
500085,CHAMBAL FERT,A ,Q,171.00,171.00,168.95,169.65,169.65,168.85,1349,36672,6230309.00,
500086,EXIDE IND.  ,A ,Q,227.65,232.60,224.95,230.45,230.45,225.95,2741,158587,36240686.00,
500087,CIPLA LTD.  ,A ,Q,541.00,543.50,537.60,539.10,539.10,539.85,1245,85525,46176668.00,
