SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1226.50,1234.50,1224.30,1229.95,1229.95,1224.30,250,79563,97667248.00,
500003,AEGIS LOGIS ,A ,Q,195.40,201.40,194.80,200.70,201.15,196.15,262,5111,1021825.00,
500008,AMAR RAJA BA,A ,Q,721.90,724.15,712.60,717.10,717.10,720.30,539,17908,12847428.00,
500009,A.SARABHAI  ,X ,Q,11.50,11.74,11.42,11.54,11.72,11.58,20,3845,44149.00,
500010,HDFC        ,A ,Q,1842.35,1853.95,1835.00,1841.75,1843.90,1842.35,1354,39049,71992167.00,
500012,ANDHRA PETRO,X ,Q,54.10,54.85,53.60,53.90,53.75,54.25,139,21853,1181741.00,
500013,ANSAL INFRAS,B ,Q,11.30,11.30,10.90,11.06,11.10,11.37,76,11384,126256.00,
500014,APPLE FINANC,XT,Q,1.62,1.65,1.62,1.65,1.65,1.70,6,2286,3706.00,
500020,BOM DYEING  ,B ,Q,110.05,112.70,109.10,110.10,110.10,108.40,1331,132750,14661445.00,
500023,ASIANHOTNR  ,B ,Q,140.00,140.00,140.00,140.00,140.00,144.50,1,16,2240.00,
500024,ASSAMCO     ,T ,Q,2.43,2.43,2.43,2.43,2.43,2.55,11,12425,30192.00,
500027,ATUL LTD.   ,A ,Q,3335.00,3381.90,3298.45,3361.05,3352.00,3299.85,230,5390,18087097.00,
500028,ATV PROJECTS,XT,Q,6.00,6.30,5.72,5.82,5.80,6.00,21,2875,17081.00,
500029,AUTOLITE(I) ,B ,Q,31.00,32.05,29.80,30.40,30.40,29.25,53,5210,158451.00,
500031,BAJAJ ELECT.,A ,Q,455.50,455.50,447.00,452.20,452.20,451.10,207,5208,2354682.00,
500032,BAJAJHIND   ,B ,Q,8.20,8.44,8.12,8.32,8.32,8.21,272,452820,3737953.00,
500033,FORCE MOTR  ,A ,Q,1389.00,1393.80,1369.95,1385.35,1385.35,1376.10,1107,12202,16913402.00,
500034,BAJFINANCE  ,A ,Q,2655.65,2660.70,2631.00,2647.40,2650.00,2641.40,1679,25333,67066005.00,
500038,BALRAM.CHINI,A ,Q,128.00,131.75,128.00,130.85,130.85,127.20,2535,351304,45799745.00,
500039,BANCO PROD. ,B ,Q,145.60,147.00,141.70,146.50,146.90,146.35,74,4355,633484.00,
500040,CENTURY TEXT,A ,Q,802.45,814.55,784.10,800.65,784.10,797.50,1816,68170,54979247.00,
500041,BANNARI AMAN,B ,Q,1518.00,1590.00,1518.00,1588.25,1588.25,1501.30,6,52,82519.00,
500042,BASF INDIA  ,A ,Q,1307.75,1347.00,1307.75,1318.35,1339.95,1291.60,305,1020,1356567.00,
500043,BATA INDIA  ,A ,Q,1308.05,1308.05,1276.00,1288.80,1288.80,1297.10,1258,32483,41702897.00,
500048,BEML LTD    ,A ,Q,839.90,852.10,830.75,835.55,835.55,837.35,1605,58984,49437891.00,
500049,BHARAT ELECT,A ,Q,80.95,83.20,80.15,82.40,82.40,80.35,1758,478222,38890238.00,
500052,BHANSALI ENG,B ,Q,61.90,64.60,58.90,63.60,63.80,61.25,1810,216690,13470473.00,
500055,TATASTLBSL  ,T ,Q,26.75,27.45,26.75,27.45,27.45,26.95,116,23868,650815.00,
500058,BIHAR SPONGE,XT,Q,0.90,0.91,0.90,0.90,0.90,0.91,8,2230,2015.00,
500059,BINANI IND. ,B ,Q,38.25,43.40,38.25,41.30,41.85,39.95,55,5573,231444.00,
500060,BIRLACABLE  ,B ,Q,160.20,161.55,158.65,159.60,159.50,158.05,164,5718,913592.00,
500067,BLUE STAR   ,A ,Q,612.00,622.00,604.10,615.90,622.00,607.50,117,549,336732.00,
500068,DISA INDIA  ,X ,Q,6000.00,6089.00,6000.00,6089.00,6089.00,5930.00,3,4,24089.00,
500069,BNK CAPITAL ,X ,Q,81.35,82.50,81.30,82.25,82.25,82.35,25,139848,11528131.00,
500074,BPL LTD.    ,B ,Q,26.50,26.60,25.90,26.20,26.00,26.50,49,5633,147631.00,
500078,OAL         ,X ,Q,223.70,223.70,214.00,215.85,216.80,219.00,69,5247,1139841.00,
500083,CENTURY EXT ,B ,Q,6.10,6.15,6.03,6.03,6.03,5.94,8,1379,8338.00,
500084,CESC LTD.   ,A ,Q,672.30,678.70,664.00,672.00,672.00,668.15,308,10630,7112145.00,
500085,CHAMBAL FERT,A ,Q,161.80,161.80,156.10,157.80,158.25,156.65,168,9173,1442004.00,
500086,EXIDE IND.  ,A ,Q,222.75,222.75,217.50,219.60,218.60,220.35,1153,495127,108074685.00,
500087,CIPLA LTD.  ,A ,Q,552.00,557.95,545.70,554.85,557.00,550.95,897,57169,31472679.00,
500089,DIC INDIA   ,B ,Q,346.00,346.00,346.00,346.00,346.00,340.00,5,500,173000.00,
500092,CRISIL LTD  ,A ,Q,1509.95,1509.95,1441.00,1459.70,1468.00,1483.80,292,7793,11571371.00,
500093,CGPOWER     ,A ,Q,31.40,32.50,30.95,32.25,32.25,31.50,1715,878950,27922649.00,
500096,DABUR (I)   ,A ,Q,437.60,442.25,432.90,438.50,438.50,433.40,2468,54688,23883154.00,
500097,DALMIASUG   ,B ,Q,113.00,125.15,113.00,122.75,122.75,112.40,2226,153311,18632831.00,
500101,ARVIND Ltd  ,A ,Q,75.95,76.40,75.20,75.60,75.60,75.65,456,78682,5942752.00,
500102,BALARPUR IND,B ,Q,3.53,3.74,3.48,3.69,3.69,3.46,118,92972,336220.00,
500103,BHEL        ,A ,Q,64.85,65.00,64.15,64.55,64.55,64.70,887,381249,24618869.00,
500104,HIND.PETRO  ,A ,Q,225.00,225.65,221.60,223.70,223.70,222.65,1570,165117,36948956.00,
500106,IFCI LTD    ,A ,Q,12.45,12.70,12.30,12.55,12.55,12.46,682,131306,1639695.00,
500108,MAHA.TELE   ,B ,Q,12.95,13.40,12.51,13.24,13.24,12.48,452,172841,2248413.00,
500109,MRPL        ,A ,Q,64.60,65.40,63.90,65.10,65.00,64.05,585,125777,8105732.00,
500110,CHENNAI PET.,A ,Q,223.90,228.85,222.35,227.50,227.50,222.05,596,23647,5356802.00,
