SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1242.90,1246.00,1221.50,1224.30,1224.30,1235.80,539,110293,135348850.00,
500003,AEGIS LOGIS ,A ,Q,200.90,201.75,192.00,196.15,196.85,200.50,451,6442,1266745.00,
500008,AMAR RAJA BA,A ,Q,737.00,738.00,715.70,720.30,720.30,729.80,748,24947,18067305.00,
500009,A.SARABHAI  ,X ,Q,11.66,11.99,11.30,11.58,11.58,11.63,26,6200,71943.00,
500010,HDFC        ,A ,Q,1865.00,1876.80,1821.55,1842.35,1842.35,1853.55,2429,87395,161459649.00,
500012,ANDHRA PETRO,X ,Q,55.00,56.00,53.00,54.25,53.60,54.60,212,37197,2034138.00,
500013,ANSAL INFRAS,B ,Q,11.00,11.65,11.00,11.37,11.37,11.15,115,20835,236076.00,
500014,APPLE FINANC,XT,Q,1.70,1.70,1.62,1.70,1.70,1.70,19,4205,7052.00,
500016,ARUNAHTEL   ,XT,Q,7.13,7.87,7.13,7.87,7.87,7.50,3,1210,9374.00,
500020,BOM DYEING  ,B ,Q,111.25,114.35,105.65,108.40,108.40,110.90,2386,258239,28304813.00,
500024,ASSAMCO     ,B ,Q,2.55,2.55,2.55,2.55,2.55,2.68,9,3185,8121.00,
500027,ATUL LTD.   ,A ,Q,3348.70,3349.00,3290.05,3299.85,3300.00,3309.55,244,1240,4122384.00,
500028,ATV PROJECTS,XT,Q,6.09,6.09,5.58,6.00,6.00,5.80,18,4816,28852.00,
500029,AUTOLITE(I) ,B ,Q,30.00,30.45,28.15,29.25,28.15,29.15,21,1008,29702.00,
500031,BAJAJ ELECT.,A ,Q,458.00,476.00,446.50,451.10,449.00,454.15,680,12081,5502183.00,
500032,BAJAJHIND   ,B ,Q,8.59,8.71,8.12,8.21,8.21,8.40,357,217008,1825083.00,
500033,FORCE MOTR  ,A ,Q,1395.00,1417.00,1371.50,1376.10,1376.10,1382.55,1335,14777,20573753.00,
500034,BAJFINANCE  ,A ,Q,2658.00,2695.00,2625.00,2641.40,2641.40,2652.75,3203,59349,157649278.00,
500038,BALRAM.CHINI,A ,Q,132.70,133.80,125.40,127.20,127.20,129.75,3010,330772,42749977.00,
500039,BANCO PROD. ,B ,Q,145.35,149.25,145.35,146.35,147.70,146.30,87,3386,500438.00,
500040,CENTURY TEXT,A ,Q,802.35,820.15,791.05,797.50,800.00,797.25,999,33046,26616612.00,
500041,BANNARI AMAN,B ,Q,1533.00,1533.00,1477.70,1501.30,1501.30,1505.00,4,4,5992.00,
500042,BASF INDIA  ,A ,Q,1289.85,1312.45,1262.00,1291.60,1299.95,1285.60,192,832,1068115.00,
500043,BATA INDIA  ,A ,Q,1316.70,1322.35,1290.30,1297.10,1295.00,1310.10,1268,30716,40090276.00,
500048,BEML LTD    ,A ,Q,829.90,853.10,825.00,837.35,836.00,823.85,3477,135271,113878016.00,
500049,BHARAT ELECT,A ,Q,80.90,82.70,79.70,80.35,80.35,79.80,2631,558030,45291569.00,
500052,BHANSALI ENG,B ,Q,61.70,64.45,60.25,61.25,61.30,60.25,1167,140083,8704487.00,
500055,TATASTLBSL  ,T ,Q,27.50,27.90,26.80,26.95,26.85,27.15,245,44639,1214524.00,
500058,BIHAR SPONGE,XT,Q,0.91,0.92,0.91,0.91,0.91,0.92,10,5168,4730.00,
500059,BINANI IND. ,B ,Q,41.80,42.65,38.00,39.95,41.15,39.20,100,8405,346000.00,
500060,BIRLACABLE  ,B ,Q,164.00,166.70,155.55,158.05,158.00,160.70,358,10213,1632734.00,
500067,BLUE STAR   ,A ,Q,613.75,622.50,603.00,607.50,603.00,616.60,199,1315,810897.00,
500068,DISA INDIA  ,X ,Q,5907.00,6050.00,5903.00,5930.00,5930.00,6050.00,10,62,372484.00,
500074,BPL LTD.    ,B ,Q,27.20,27.50,26.00,26.50,26.50,26.60,85,8149,219190.00,
500078,OAL         ,X ,Q,222.95,225.00,213.55,219.00,220.00,217.30,57,4378,969138.00,
500083,CENTURY EXT ,B ,Q,6.01,6.10,5.90,5.94,6.08,6.04,20,5517,32985.00,
500084,CESC LTD.   ,A ,Q,671.85,684.00,661.50,668.15,665.00,668.20,385,10020,6729502.00,
500085,CHAMBAL FERT,A ,Q,156.15,160.20,155.00,156.65,157.00,156.15,270,16945,2669888.00,
500086,EXIDE IND.  ,A ,Q,220.90,226.00,219.15,220.35,219.25,218.95,1674,110370,24551700.00,
500087,CIPLA LTD.  ,A ,Q,550.00,555.30,545.00,550.95,550.95,550.35,1071,64535,35503884.00,
500089,DIC INDIA   ,B ,Q,340.00,340.05,340.00,340.00,340.00,342.80,3,150,51002.00,
500092,CRISIL LTD  ,A ,Q,1488.00,1494.65,1476.00,1483.80,1491.85,1487.40,128,1655,2456151.00,
500093,CGPOWER     ,A ,Q,31.50,32.45,30.70,31.50,31.25,30.80,4229,1799484,56747529.00,
500096,DABUR (I)   ,A ,Q,430.85,440.60,430.00,433.40,433.40,428.55,1416,118521,51554157.00,
500097,DALMIASUG   ,B ,Q,116.80,122.75,111.00,112.40,112.40,116.85,1184,80804,9409406.00,
500101,ARVIND Ltd  ,A ,Q,75.20,77.95,74.85,75.65,75.65,74.30,1208,242606,18532858.00,
500102,BALARPUR IND,B ,Q,3.50,3.64,3.45,3.46,3.46,3.47,83,117232,415027.00,
500103,BHEL        ,A ,Q,64.90,65.95,64.40,64.70,64.70,64.55,1471,514230,33415882.00,
500104,HIND.PETRO  ,A ,Q,227.45,229.40,221.25,222.65,222.65,226.05,2191,279354,62637457.00,
500106,IFCI LTD    ,A ,Q,12.45,12.90,12.39,12.46,12.46,12.64,656,219353,2764074.00,
500108,MAHA.TELE   ,B ,Q,12.45,12.94,12.40,12.48,12.65,12.49,203,66068,834021.00,
500109,MRPL        ,A ,Q,65.85,66.00,63.75,64.05,64.05,64.75,589,86236,5571045.00,
500110,CHENNAI PET.,A ,Q,227.45,228.70,221.00,222.05,222.05,226.65,656,58847,13148725.00,
500111,REL.CAP.    ,A ,Q,172.15,175.30,166.70,168.90,168.90,171.05,11410,1489351,253620788.00,
500112,STATE BANK  ,A ,Q,267.30,272.50,266.50,267.25,267.25,266.30,7453,1174418,315924551.00,
500113,STEEL AUTH. ,A ,Q,48.65,49.85,48.10,48.50,48.50,48.55,2510,1540793,75290300.00,
500114,TITAN       ,A ,Q,1038.00,1047.00,1014.70,1017.65,1017.65,1037.70,1574,70138,72299110.00,
500116,IDBI BANK L ,A ,Q,42.35,43.45,41.50,41.70,41.70,42.30,1852,665783,28046366.00,
500117,DCW LTD.    ,B ,Q,17.35,17.65,16.30,16.40,16.40,17.05,98,18582,316523.00,
500119,DHAMPUR SUGA,B ,Q,233.85,242.85,223.00,230.30,228.50,233.45,4004,244961,57237423.00,
500120,DIAMINES&CHM,X ,Q,93.85,94.40,89.00,93.20,93.35,89.95,80,10028,922253.00,
500123,ELANTAS     ,B ,Q,2181.55,2265.00,2125.00,2212.10,2180.00,2223.20,140,679,1487468.00,
500124,DR.REDDY'S  ,A ,Q,2660.00,2684.05,2632.50,2645.00,2645.00,2648.40,935,17045,45301014.00,
500125,E.I.D.PAR   ,A ,Q,187.00,194.40,184.00,186.00,186.00,186.55,869,44702,8456878.00,
500126,MERCK LTD   ,B ,Q,2960.00,3381.00,2960.00,3139.15,3139.15,2904.05,3636,23784,74989766.00,
500128,ELEC.CASTING,B ,Q,19.00,19.25,18.20,18.50,18.65,18.50,86,16436,305859.00,
500132,EMPEE SUGARS,XT,Q,1.15,1.15,1.15,1.15,1.15,1.10,1,100,115.00,
500133,ESAB INDIA  ,B ,Q,849.05,870.00,826.00,863.10,859.00,856.30,54,574,488431.00,
500135,ESSEL PROP  ,B ,Q,111.50,115.00,107.00,109.30,110.00,111.00,98,4476,503929.00,
500136,ESTER INDUS.,B ,Q,30.30,31.90,30.25,30.30,30.65,30.30,68,18910,576632.00,
500141,FERRO ALLOYS,X ,Q,3.75,4.24,3.75,4.10,4.24,3.89,71,28920,115968.00,
500144,FINOL. CABLE,A ,Q,385.00,395.00,385.00,393.25,395.00,381.40,271,4551,1776404.00,
500147,CMI FPE     ,X ,Q,1212.00,1249.00,1170.05,1222.85,1207.00,1194.65,215,29357,35662671.00,
500148,UFLEX LTD   ,A ,Q,199.90,201.80,193.50,194.00,194.00,197.15,334,11709,2316062.00,
500150,FOSECO INDIA,B ,Q,1347.00,1359.00,1346.00,1359.00,1359.00,1350.25,4,21,28280.00,
500153,GANESH BENZO,X ,Q,40.25,42.45,40.25,40.90,41.30,40.50,139,30032,1242441.00,
500155,GARDEN SILK ,B ,Q,21.90,22.70,20.05,20.65,20.25,21.30,166,28015,582306.00,
500159,METROGLOBL  ,X ,Q,52.00,59.85,52.00,52.10,52.10,51.85,13,258,13500.00,
500160,GTL LTD.    ,T ,Q,4.84,4.84,4.54,4.58,4.55,4.71,38,25282,115832.00,
500163,GODFREY PH  ,A ,Q,889.00,902.00,867.30,878.80,876.05,889.10,827,21787,19153245.00,
500164,GODREJ IND  ,A ,Q,484.55,502.00,481.75,499.05,499.00,481.05,830,21252,10509131.00,
500165,KANSAI NERO ,A ,Q,452.40,458.25,446.40,451.90,450.85,451.60,215,3650,1650420.00,
500166,GOODRICKE   ,X ,Q,230.30,230.30,212.75,219.70,219.90,227.70,128,8298,1841536.00,
500168,GOODYEAR (I),B ,Q,862.00,869.50,850.00,851.55,851.55,850.20,127,1745,1493679.00,
500171,GHCL LTD    ,A ,Q,223.00,225.00,218.40,220.30,220.70,220.70,492,133802,29704322.00,
500173,GUJ.FLOURO  ,A ,Q,913.00,918.00,898.00,900.60,900.00,898.70,184,1460,1323857.00,
500179,HCL INFOSYS ,B ,Q,19.00,20.55,18.95,19.35,19.35,19.05,521,118615,2342958.00,
500180,HDFC BANK   ,A ,Q,2114.00,2124.75,2088.50,2091.60,2091.60,2110.25,2097,77398,162507253.00,
500182,HEROMOTOCO  ,A ,Q,2698.00,2740.00,2650.00,2674.70,2669.60,2688.35,1837,30155,81186967.00,
500183,HIMACHAL FUT,A ,Q,21.35,21.70,21.05,21.15,21.05,21.25,631,433950,9235206.00,
500184,HSCL        ,A ,Q,113.90,115.60,109.00,111.30,111.30,110.50,928,71194,7991138.00,
500185,HIND.CONSTN.,A ,Q,12.14,12.54,11.97,12.09,12.19,12.07,391,281477,3428093.00,
