SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1315.20,1315.20,1296.00,1303.85,1303.85,1307.20,270,80405,104771512.00,
500003,AEGIS LOGIS ,A ,Q,204.50,205.90,203.00,204.10,205.05,205.05,178,11439,2340951.00,
500008,AMAR RAJA BA,A ,Q,746.80,752.75,743.60,746.10,746.10,747.45,297,7067,5288816.00,
500009,A.SARABHAI  ,X ,Q,13.30,13.74,13.00,13.05,13.03,13.22,96,28099,372216.00,
500010,HDFC        ,A ,Q,1913.75,1992.90,1913.75,1977.00,1977.00,1957.85,2308,71008,140145715.00,XD
500012,ANDHRA PETRO,X ,Q,59.45,60.40,58.50,58.95,58.95,58.45,257,70011,4178459.00,
500013,ANSAL INFRAS,B ,Q,11.70,11.75,11.50,11.56,11.53,11.76,77,21000,243117.00,
500014,APPLE FINANC,XT,Q,1.81,1.89,1.72,1.89,1.89,1.81,18,4195,7361.00,
500016,ARUNAHTEL   ,XT,Q,7.89,7.90,7.89,7.90,7.90,8.30,2,116,916.00,
500020,BOM DYEING  ,A ,Q,141.35,142.25,132.00,133.30,133.30,139.85,5665,552207,75976202.00,
500023,ASIANHOTNR  ,B ,Q,140.50,141.00,140.50,141.00,141.00,146.00,2,116,16306.00,
500024,ASSAMCO     ,T ,Q,2.57,2.57,2.35,2.40,2.40,2.46,105,195619,470622.00,
500027,ATUL LTD.   ,A ,Q,3310.00,3331.55,3267.70,3286.40,3291.90,3299.70,199,829,2740808.00,
500028,ATV PROJECTS,XT,Q,7.42,7.43,7.34,7.34,7.34,7.72,17,1938,14309.00,
500029,AUTOLITE(I) ,B ,Q,39.20,39.20,37.25,37.50,37.95,38.00,35,2205,84678.00,
500031,BAJAJ ELECT.,A ,Q,507.00,526.75,505.00,515.25,515.25,505.15,1331,134515,69366639.00,
500032,BAJAJHIND   ,B ,Q,8.74,8.74,8.42,8.48,8.48,8.63,197,110040,941077.00,
500033,FORCE MOTR  ,A ,Q,1755.60,1774.00,1716.00,1721.80,1721.80,1755.60,1513,18131,31513892.00,
500034,BAJFINANCE  ,A ,Q,2808.75,2894.00,2808.75,2859.70,2859.70,2808.75,4067,72098,206068303.00,
500038,BALRAM.CHINI,A ,Q,133.65,135.30,131.50,132.85,132.85,133.15,1016,85256,11409458.00,
500039,BANCO PROD. ,B ,Q,161.90,163.35,159.90,160.25,160.25,161.70,75,5161,831870.00,
500040,CENTURY TEXT,A ,Q,896.35,901.00,880.20,886.70,886.70,891.90,918,36289,32278324.00,
500041,BANNARI AMAN,B ,Q,1689.95,1689.95,1609.95,1620.65,1620.65,1610.10,16,151,244892.00,
500042,BASF INDIA  ,A ,Q,1435.00,1435.25,1382.50,1391.25,1404.60,1441.05,503,2439,3421471.00,
500043,BATA INDIA  ,A ,Q,1364.00,1383.75,1358.05,1373.90,1361.50,1363.70,2360,75008,103245524.00,
500048,BEML LTD    ,A ,Q,970.05,978.85,955.25,963.85,963.85,970.40,2856,118050,114303684.00,
500049,BHARAT ELECT,A ,Q,93.50,95.45,92.40,94.80,94.80,93.10,5141,1097939,103071101.00,
500052,BHANSALI ENG,B ,Q,76.25,78.00,72.00,73.25,73.25,76.15,1181,148575,11194733.00,
500055,TATASTLBSL  ,T ,Q,31.00,31.00,30.00,30.15,30.20,30.30,206,47542,1438856.00,
500058,BIHAR SPONGE,XT,Q,0.87,0.87,0.87,0.87,0.87,0.86,3,1101,957.00,
500059,BINANI IND. ,T ,Q,45.00,46.00,43.40,43.80,43.80,45.00,33,4757,209510.00,
500060,BIRLACABLE  ,B ,Q,163.00,167.95,160.20,161.30,161.30,164.15,150,5797,942134.00,
500067,BLUE STAR   ,A ,Q,684.45,684.45,651.00,665.15,676.00,674.85,99,1436,968843.00,
500068,DISA INDIA  ,X ,Q,6199.00,6199.00,5556.10,6089.25,6090.00,6025.00,11,27,158796.00,
500069,BNK CAPITAL ,X ,Q,89.00,89.00,86.75,86.95,88.75,90.00,19,2150,189280.00,
500074,BPL LTD.    ,B ,Q,29.25,29.40,28.45,28.70,28.55,28.95,265,44513,1287278.00,
500078,OAL         ,X ,Q,265.00,270.00,249.20,252.70,252.70,261.30,225,8847,2303038.00,
500083,CENTURY EXT ,B ,Q,6.49,6.49,6.17,6.19,6.30,6.27,9,2748,17048.00,
500084,CESC LTD.   ,A ,Q,726.55,737.15,718.00,721.30,718.00,726.55,813,10228,7417216.00,
500085,CHAMBAL FERT,A ,Q,165.50,170.15,163.50,165.80,165.80,165.25,1149,42211,7081560.00,
500086,EXIDE IND.  ,A ,Q,230.00,233.60,228.50,229.10,229.75,229.15,914,69185,15991152.00,
500087,CIPLA LTD.  ,A ,Q,533.00,535.10,528.40,531.75,531.75,533.55,899,58416,31110769.00,
500089,DIC INDIA   ,B ,Q,383.00,383.00,363.75,364.00,364.00,362.00,25,174,63420.00,
500092,CRISIL LTD  ,A ,Q,1470.45,1480.00,1431.00,1446.40,1446.40,1467.30,205,83985,121641310.00,
500093,CGPOWER     ,A ,Q,42.05,45.00,41.80,43.90,43.90,42.15,6953,2862542,125067565.00,
500096,DABUR (I)   ,A ,Q,438.95,439.85,423.30,425.35,425.35,438.95,3145,121003,52075331.00,
500097,DALMIASUG   ,B ,Q,122.05,122.85,118.10,119.05,119.55,120.80,714,22284,2698772.00,
500101,ARVIND Ltd  ,A ,Q,94.90,96.50,94.10,95.15,95.15,94.70,2062,366810,35028093.00,
500102,BALARPUR IND,B ,Q,3.52,3.53,3.21,3.22,3.22,3.56,435,1230166,4176119.00,
500103,BHEL        ,A ,Q,66.90,67.95,66.20,67.70,67.70,67.35,1735,557845,37511429.00,
500104,HIND.PETRO  ,A ,Q,268.00,279.90,265.50,276.45,276.45,267.35,5168,558723,152050877.00,
500106,IFCI LTD    ,A ,Q,13.80,14.00,13.30,13.65,13.70,13.84,11172,266022,3663795.00,
500108,MAHA.TELE   ,B ,Q,13.34,13.50,13.06,13.17,13.17,13.38,230,78171,1038703.00,
500109,MRPL        ,A ,Q,73.40,74.10,72.20,73.40,72.95,73.40,468,85028,6225299.00,
500110,CHENNAI PET.,A ,Q,264.30,270.05,262.50,264.30,262.50,264.30,1138,46758,12457715.00,
500111,REL.CAP.    ,A ,Q,169.60,175.35,165.55,173.95,173.95,171.95,18287,2382692,405168702.00,
500112,STATE BANK  ,A ,Q,292.05,300.50,292.05,297.70,297.70,291.15,13472,2317993,689623971.00,
500113,STEEL AUTH. ,A ,Q,53.40,53.40,51.10,51.55,51.55,52.70,3046,2634928,136708105.00,
500114,TITAN       ,A ,Q,1088.00,1112.40,1082.00,1095.45,1095.00,1084.85,4358,178714,196883186.00,
500116,IDBI BANK L ,A ,Q,44.00,44.00,42.50,42.90,42.90,43.10,4875,2482820,107505431.00,
500117,DCW LTD.    ,B ,Q,17.10,20.40,17.00,19.50,19.50,17.00,1585,609228,11876569.00,
500119,DHAMPUR SUGA,B ,Q,227.70,229.75,223.80,224.95,224.95,225.05,1041,67848,15408113.00,
500120,DIAMINES&CHM,X ,Q,114.15,123.75,114.15,121.10,120.00,120.05,47,2418,292814.00,
500123,ELANTAS     ,B ,Q,2310.00,2311.00,2255.00,2275.75,2255.05,2312.70,32,230,526908.00,
500124,DR.REDDY'S  ,A ,Q,2650.20,2691.50,2643.00,2659.80,2657.50,2653.65,901,13761,36637066.00,
500125,E.I.D.PAR   ,A ,Q,220.00,222.00,210.55,215.20,211.00,217.65,718,19108,4173482.00,
500126,MERCK LTD   ,A ,Q,3442.50,3442.50,3355.00,3374.25,3366.10,3422.40,322,1714,5813281.00,
500128,ELEC.CASTING,B ,Q,21.05,21.50,20.85,20.90,20.90,20.90,119,21702,459324.00,
500132,EMPEE SUGARS,XT,Q,1.19,1.19,1.19,1.19,1.19,1.25,3,178,211.00,
500133,ESAB INDIA  ,B ,Q,922.00,922.00,894.90,897.85,894.90,929.25,15,268,243379.00,
500135,ESSEL PROP  ,B ,Q,117.00,121.50,117.00,118.45,118.45,117.10,349,18049,2151948.00,
500136,ESTER INDUS.,B ,Q,38.10,38.10,35.80,36.25,36.10,37.80,120,13068,482967.00,
500141,FERRO ALLOYS,X ,Q,4.90,4.97,4.51,4.59,4.55,4.86,95,43153,206083.00,
500144,FINOL. CABLE,A ,Q,476.00,500.00,471.75,487.80,484.00,469.80,585,17637,8525218.00,
500147,CMI FPE     ,X ,Q,1317.00,1359.00,1317.00,1340.00,1340.00,1330.10,74,1427,1922424.00,
500148,UFLEX LTD   ,A ,Q,219.35,228.00,217.65,222.90,222.90,220.10,475,12318,2766373.00,
500150,FOSECO INDIA,B ,Q,1383.15,1409.85,1370.00,1385.65,1409.85,1382.30,10,42,58196.00,
500151,GOLDEN TOB  ,T ,Q,37.35,37.35,37.35,37.35,37.35,35.60,4,594,22185.00,
500153,GANESH BENZO,X ,Q,51.25,53.65,51.00,51.55,51.10,52.00,142,21826,1124311.00,
500155,GARDEN SILK ,B ,Q,22.20,22.65,21.50,21.85,21.85,22.25,56,4080,90107.00,
500159,METROGLOBL  ,X ,Q,54.95,54.95,54.95,54.95,54.95,52.90,1,25,1373.00,
500160,GTL LTD.    ,T ,Q,5.35,5.66,5.25,5.36,5.44,5.46,43,44394,237656.00,
500163,GODFREY PH  ,A ,Q,1087.75,1094.35,1073.90,1079.65,1084.95,1078.90,886,23030,24936894.00,
500164,GODREJ IND  ,A ,Q,532.00,536.70,528.60,533.90,534.00,530.30,354,14914,7928080.00,
500165,KANSAI NERO ,A ,Q,460.05,471.55,454.15,465.05,466.00,462.55,730,20298,9405885.00,
500166,GOODRICKE   ,X ,Q,238.00,238.00,222.00,223.30,223.30,230.70,149,7385,1678331.00,
500168,GOODYEAR (I),B ,Q,924.50,928.90,917.00,922.55,922.55,922.45,135,4027,3714472.00,
500170,GTN INDUS   ,B ,Q,9.90,9.90,9.85,9.85,9.85,10.00,3,402,3964.00,
500171,GHCL LTD    ,A ,Q,247.75,247.95,230.00,234.75,234.75,245.10,420,314662,74675689.00,
500173,GUJ.FLOURO  ,A ,Q,1073.00,1092.45,1039.50,1054.20,1054.20,1062.85,543,4702,5024942.00,
500179,HCL INFOSYS ,B ,Q,21.10,21.25,19.80,20.10,19.95,21.10,378,73147,1495799.00,
500180,HDFC BANK   ,A ,Q,2225.00,2260.00,2225.00,2251.50,2251.50,2223.25,4999,106579,239517670.00,
500182,HEROMOTOCO  ,A ,Q,2785.00,2785.00,2720.10,2739.05,2739.05,2755.35,2109,31119,85236222.00,
500183,HIMACHAL FUT,A ,Q,23.70,24.25,22.50,22.75,22.75,23.75,1634,1139661,26672157.00,
500184,HSCL        ,A ,Q,123.00,124.95,116.30,117.50,117.50,121.85,705,48651,5843688.00,
500185,HIND.CONSTN.,A ,Q,15.10,16.15,15.10,15.48,15.48,15.01,5292,3312968,52128397.00,
500186,HIND.OIL EXP,B ,Q,130.45,131.00,124.00,125.80,125.50,129.80,457,39255,5052417.00,
500187,HSIL        ,B ,Q,262.90,268.75,260.00,262.65,262.65,263.90,412,14366,3826839.00,
500188,HINDUS.ZI   ,A ,Q,275.00,275.65,271.45,274.90,274.70,274.25,434,25069,6853122.00,
500189,HINDUJA VENT,B ,Q,348.20,359.65,348.10,355.20,354.95,351.25,48,737,262219.00,
500191,HMT LTD.    ,Z ,Q,22.95,23.10,22.00,22.80,23.00,22.00,49,12945,296248.00,
500192,PRAG BOSIMI ,XT,Q,3.05,3.20,3.05,3.20,3.20,3.15,8,1400,4285.00,
500193,HOTEL LEELA.,B ,Q,10.80,11.25,10.80,10.96,10.96,10.99,122,71636,785829.00,
500199,I.G.PETRO   ,B ,Q,328.00,334.35,326.00,328.65,326.00,324.85,187,1733,572174.00,
500201,IND.GLYCOLS ,B ,Q,287.05,295.35,287.05,289.80,288.15,291.90,318,12099,3532122.00,
500206,MARGO FIN   ,X ,Q,7.74,7.74,7.74,7.74,7.74,8.14,7,1456,11269.00,
500207,INDO RAMA   ,T ,Q,34.95,35.40,34.95,35.00,34.95,34.95,31,29410,1032791.00,
500209,INFOSYS LTD ,A ,Q,712.85,723.65,709.15,718.85,718.85,708.35,8328,806656,579220795.00,
500210,INGERSOLL   ,B ,Q,598.00,625.00,598.00,607.00,607.00,604.10,516,6278,3862331.00,
500211,INSILCO LTD.,X ,Q,20.35,20.35,18.75,19.00,19.00,19.05,11,1294,24470.00,
500213,INTER.TRAVEL,X ,Q,136.95,136.95,135.00,135.05,135.00,134.25,47,2301,311563.00,
500214,ION EXCHANGE,XT,Q,407.10,416.00,401.10,403.90,404.00,406.15,104,5214,2129619.00,
500215,AGRO TECH FO,B ,Q,571.00,587.95,569.80,579.10,587.95,569.80,27,263,151908.00,
500219,JAIN IRRIG  ,A ,Q,62.00,63.10,61.40,62.00,62.00,61.75,990,435419,27034310.00,
500220,JASCH INDUST,X ,Q,55.50,57.80,55.00,56.15,55.50,56.20,58,6644,374085.00,
500223,JCT LTD     ,X ,Q,1.58,1.75,1.58,1.69,1.70,1.64,56,47317,78747.00,
500227,JINDAL POLYF,B ,Q,255.00,259.90,251.20,252.40,252.40,254.00,113,9162,2328792.00,
500228,JSWSL       ,A ,Q,285.90,291.00,285.45,288.35,288.35,287.00,1308,163417,47040861.00,
500231,UMANG DAIR  ,B ,Q,55.00,56.40,55.00,55.85,55.80,55.50,10,505,28089.00,
500233,KAJARIA CER.,A ,Q,586.40,586.80,567.70,571.50,571.50,582.90,517,16759,9663198.00,
500234,KAKATIYA CEM,B ,Q,188.00,188.00,177.00,180.00,182.50,181.60,59,2086,380098.00,
500235,KALYANI STEL,B ,Q,230.80,233.70,225.10,226.95,226.95,226.05,545,20740,4770510.00,
500236,KANELIND    ,X ,Q,1.55,1.71,1.55,1.71,1.71,1.63,5,910,1412.00,
500238,WHIRLPOOL   ,A ,Q,1617.50,1617.50,1580.00,1591.45,1609.90,1599.60,462,4717,7509188.00,
500239,KG DENIM    ,X ,Q,53.00,54.00,51.00,52.00,52.00,53.75,61,27130,1430828.00,
500240,KINETIC ENG.,X ,Q,40.05,40.05,38.10,38.50,38.50,40.70,26,1539,59457.00,
500241,KIRL.BROS.  ,B ,Q,180.00,184.00,174.20,178.55,181.00,174.35,125,3070,553067.00,
500243,KIRL INDUS  ,B ,Q,860.00,860.00,799.95,811.85,811.85,814.70,51,556,463922.00,
500245,KIRL.FERROUS,B ,Q,94.50,95.00,93.70,94.55,94.95,94.05,272,37307,3525419.00,
500246,ENVAIN ELECT,X ,Q,44.00,44.15,43.90,44.10,44.10,46.20,7,1915,84097.00,
