SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1317.55,1342.00,1317.55,1336.15,1336.15,1316.35,535,6655,8883356.00,
500003,AEGIS LOGIS ,A ,Q,202.70,203.85,198.00,200.45,199.65,203.60,144,3228,650580.00,
500008,AMAR RAJA BA,A ,Q,745.00,746.85,720.20,726.90,726.90,742.70,763,19701,14386983.00,
500009,A.SARABHAI  ,X ,Q,15.00,15.80,14.00,14.09,14.04,14.66,297,85087,1245871.00,
500010,HDFC        ,A ,Q,1975.00,1998.00,1968.50,1987.15,1987.15,1967.85,2367,50410,100147083.00,
500012,ANDHRA PETRO,X ,Q,58.95,59.70,57.60,58.40,58.30,58.35,124,21933,1277177.00,
500013,ANSAL INFRAS,B ,Q,11.50,11.60,11.26,11.29,11.33,11.56,60,14933,170506.00,
500014,APPLE FINANC,XT,Q,1.90,1.90,1.81,1.81,1.81,1.90,10,486,882.00,
500016,ARUNAHTEL   ,XT,Q,8.50,8.50,8.08,8.33,8.08,8.50,2,100,833.00,
500020,BOM DYEING  ,A ,Q,146.00,146.40,140.90,142.65,142.65,146.35,3855,339203,48519804.00,
500023,ASIANHOTNR  ,B ,Q,142.00,142.00,142.00,142.00,142.00,144.85,1,7000,994000.00,
500024,ASSAMCO     ,T ,Q,2.20,2.34,2.16,2.34,2.34,2.23,191,107930,250138.00,
500027,ATUL LTD.   ,A ,Q,3333.40,3340.05,3328.00,3332.15,3340.00,3322.20,72,1025,3414261.00,
500028,ATV PROJECTS,XT,Q,6.65,7.00,6.65,6.65,7.00,7.00,23,7932,52853.00,
500029,AUTOLITE(I) ,B ,Q,37.00,37.00,36.25,36.70,36.70,38.55,12,418,15393.00,
500031,BAJAJ ELECT.,A ,Q,520.85,530.00,520.85,526.25,526.25,519.20,378,10365,5453430.00,
500032,BAJAJHIND   ,B ,Q,8.21,8.30,7.35,8.00,8.00,8.23,12218,417167,3343083.00,
500033,FORCE MOTR  ,A ,Q,1736.00,1757.75,1701.10,1709.10,1709.10,1736.10,1340,17532,30261796.00,
500034,BAJFINANCE  ,A ,Q,2921.65,2934.50,2860.00,2872.25,2872.25,2921.65,3093,59208,171192113.00,
500038,BALRAM.CHINI,A ,Q,129.00,129.80,126.70,127.60,127.60,130.20,1316,132099,16914254.00,
500039,BANCO PROD. ,B ,Q,161.10,161.20,159.10,160.70,160.70,158.45,43,2149,344230.00,
500040,CENTURY TEXT,A ,Q,907.25,914.05,897.25,900.75,899.00,906.40,795,27130,24542634.00,
500041,BANNARI AMAN,B ,Q,1565.00,1664.90,1522.00,1531.60,1524.75,1620.65,180,1749,2679180.00,
500042,BASF INDIA  ,A ,Q,1362.60,1379.00,1350.00,1353.60,1358.00,1367.80,168,760,1034386.00,
500043,BATA INDIA  ,A ,Q,1347.05,1357.70,1334.00,1351.00,1351.00,1341.05,867,30645,41339105.00,
500048,BEML LTD    ,A ,Q,990.10,1004.10,973.75,989.90,989.90,993.25,3111,142564,140202446.00,
500049,BHARAT ELECT,A ,Q,96.90,97.65,92.70,93.35,93.35,96.40,4125,1039781,99036049.00,
500052,BHANSALI ENG,B ,Q,73.65,75.25,73.25,73.55,73.55,73.40,862,107126,7954943.00,
500055,TATASTLBSL  ,T ,Q,29.60,30.50,29.25,29.75,29.80,29.60,185,49723,1476683.00,
500058,BIHAR SPONGE,XT,Q,0.88,0.89,0.87,0.89,0.89,0.88,13,8051,7024.00,
500059,BINANI IND. ,T ,Q,38.00,39.90,37.75,38.05,37.80,39.70,77,17666,668147.00,
