SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1243.00,1248.00,1228.30,1232.15,1232.15,1245.65,328,4482,5550080.00,
500003,AEGIS LOGIS ,A ,Q,171.10,184.50,170.30,179.00,179.00,176.50,439,6700,1190023.00,
500008,AMAR RAJA BA,A ,Q,742.00,751.10,735.10,737.50,739.00,739.55,671,21411,15834968.00,
500009,A.SARABHAI  ,X ,Q,11.99,12.10,11.63,11.69,11.63,11.86,58,13845,164642.00,
500010,HDFC        ,A ,Q,1875.00,1891.90,1864.00,1874.55,1878.85,1875.20,1082,26932,50510298.00,
500012,ANDHRA PETRO,X ,Q,51.50,51.50,50.00,50.30,50.45,51.40,112,13997,706482.00,
500013,ANSAL INFRAS,B ,Q,9.90,9.95,9.50,9.66,9.60,9.76,50,13296,128325.00,
500014,APPLE FINANC,XT,Q,1.62,1.63,1.62,1.63,1.63,1.70,7,4851,7896.00,
500016,ARUNAHTEL   ,XT,Q,7.25,7.50,7.25,7.25,7.25,7.17,4,630,4692.00,
500020,BOM DYEING  ,B ,Q,103.00,104.20,100.65,101.40,101.40,102.60,825,80426,8229959.00,
500023,ASIANHOTNR  ,B ,Q,140.00,140.00,140.00,140.00,140.00,145.00,1,9,1260.00,
500024,ASSAMCO     ,B ,Q,2.45,2.45,2.45,2.45,2.45,2.34,49,124523,305081.00,
500027,ATUL LTD.   ,A ,Q,3430.90,3430.90,3379.50,3404.35,3409.00,3433.85,50,104,353470.00,
500028,ATV PROJECTS,XT,Q,6.21,6.21,5.90,5.90,5.90,6.21,26,3618,21484.00,
500029,AUTOLITE(I) ,B ,Q,29.45,30.95,28.70,30.95,30.95,29.30,17,609,17834.00,
500031,BAJAJ ELECT.,A ,Q,441.55,443.30,429.00,430.85,430.85,441.40,414,13168,5721522.00,
500032,BAJAJHIND   ,B ,Q,7.25,7.55,7.11,7.37,7.39,7.25,344,364724,2693255.00,
500033,FORCE MOTR  ,A ,Q,1340.00,1348.90,1300.00,1305.50,1305.50,1343.80,1463,14175,18625472.00,
500034,BAJFINANCE  ,A ,Q,2555.00,2559.55,2513.00,2545.95,2545.95,2557.50,1934,35787,90720512.00,
500038,BALRAM.CHINI,A ,Q,117.50,121.30,115.85,119.80,119.80,117.55,2509,288729,34411440.00,
500039,BANCO PROD. ,B ,Q,155.00,155.40,153.20,154.00,154.00,156.90,53,1824,281727.00,
500040,CENTURY TEXT,A ,Q,719.80,720.10,709.55,715.20,713.10,712.75,920,38184,27311078.00,
500041,BANNARI AMAN,B ,Q,1500.00,1500.00,1500.00,1500.00,1500.00,1499.55,1,1,1500.00,
500042,BASF INDIA  ,A ,Q,1211.00,1250.20,1188.00,1210.10,1206.05,1208.80,377,2617,3161677.00,
500043,BATA INDIA  ,A ,Q,1255.00,1287.80,1255.00,1268.25,1268.25,1254.45,2537,86523,110118409.00,
500048,BEML LTD    ,A ,Q,765.10,783.50,762.00,767.25,768.00,771.10,1101,50884,39262986.00,
500049,BHARAT ELECT,A ,Q,75.65,76.30,74.85,75.45,75.45,75.35,981,258996,19548116.00,
500052,BHANSALI ENG,B ,Q,64.95,64.95,58.00,60.25,60.10,62.60,502,50791,3078430.00,
500055,TATASTLBSL  ,T ,Q,27.05,27.15,26.50,26.90,26.85,27.05,181,44766,1201636.00,
500058,BIHAR SPONGE,XT,Q,0.97,0.97,0.97,0.97,0.97,0.98,1,400,388.00,
500059,BINANI IND. ,B ,Q,34.00,35.40,34.00,34.00,34.00,34.75,21,3511,121026.00,
500060,BIRLACABLE  ,B ,Q,156.90,157.00,149.10,151.05,150.10,155.05,297,8334,1270407.00,
