SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1258.00,1263.75,1241.00,1248.80,1241.00,1248.85,340,3270,4107609.00,
500003,AEGIS LOGIS ,A ,Q,197.70,199.95,196.55,199.40,199.40,197.15,232,2677,530929.00,
500008,AMAR RAJA BA,A ,Q,721.70,746.30,721.70,732.10,732.35,730.15,439,16705,12279909.00,
500009,A.SARABHAI  ,X ,Q,12.59,12.59,11.50,11.78,11.78,12.25,58,19651,229281.00,
500010,HDFC        ,A ,Q,1897.95,1900.60,1870.90,1894.85,1892.50,1885.05,1510,45140,85184164.00,
500012,ANDHRA PETRO,X ,Q,54.95,56.70,54.60,56.25,56.25,55.45,175,41646,2315565.00,
500013,ANSAL INFRAS,B ,Q,13.21,13.50,12.00,12.08,12.05,11.93,510,98188,1239196.00,
500014,APPLE FINANC,XT,Q,1.55,1.62,1.49,1.62,1.62,1.55,11,1531,2427.00,
500016,ARUNAHTEL   ,XT,Q,7.60,7.70,7.60,7.61,7.60,7.60,7,850,6475.00,
500020,BOM DYEING  ,B ,Q,119.00,119.00,113.00,114.05,114.05,114.90,2352,213016,24682294.00,
500023,ASIANHOTNR  ,B ,Q,139.10,139.10,138.00,138.00,138.00,140.35,4,78,10811.00,
500024,ASSAMCO     ,B ,Q,3.10,3.10,2.82,2.82,2.82,2.96,187,1581284,4719563.00,
500027,ATUL LTD.   ,A ,Q,3370.00,3380.00,3318.55,3324.25,3318.65,3350.95,148,515,1719592.00,
500028,ATV PROJECTS,XT,Q,6.18,6.22,6.00,6.02,6.02,5.93,21,3347,20445.00,
500029,AUTOLITE(I) ,B ,Q,29.60,30.05,29.40,29.65,30.05,29.45,6,226,6691.00,
500031,BAJAJ ELECT.,A ,Q,464.00,493.00,461.25,464.45,464.45,462.15,678,22225,10397334.00,
500032,BAJAJHIND   ,B ,Q,8.25,9.09,8.20,8.79,8.79,8.21,1254,928634,8118456.00,
500033,FORCE MOTR  ,A ,Q,1407.30,1439.00,1399.00,1420.45,1420.45,1402.15,956,12225,17415167.00,
500034,BAJFINANCE  ,A ,Q,2645.50,2675.00,2615.00,2659.80,2659.80,2641.05,1922,42762,113087335.00,
500038,BALRAM.CHINI,A ,Q,126.00,134.35,125.85,130.65,130.65,125.45,6396,765612,100283759.00,
500039,BANCO PROD. ,B ,Q,150.90,153.00,148.75,152.05,152.80,147.35,97,13509,2043691.00,
500040,CENTURY TEXT,A ,Q,783.60,794.75,781.60,791.05,791.05,777.40,738,30641,24189051.00,
500041,BANNARI AMAN,B ,Q,1475.00,1570.00,1475.00,1560.00,1560.00,1509.40,56,363,553616.00,
500042,BASF INDIA  ,A ,Q,1329.90,1341.20,1298.70,1308.70,1298.70,1316.00,212,1053,1403906.00,
500043,BATA INDIA  ,A ,Q,1316.20,1328.90,1300.90,1311.80,1311.80,1311.10,3110,104689,137641800.00,
500048,BEML LTD    ,A ,Q,828.80,835.15,818.00,824.85,823.80,817.65,1949,87203,72098111.00,
500049,BHARAT ELECT,A ,Q,78.95,81.20,77.30,80.85,80.85,78.70,3506,843375,66954599.00,
500052,BHANSALI ENG,B ,Q,60.90,65.40,59.55,63.75,63.75,60.30,1664,204106,12845648.00,
500055,TATASTLBSL  ,T ,Q,27.05,27.90,26.20,27.60,27.65,26.95,297,75248,2058733.00,
500058,BIHAR SPONGE,XT,Q,0.94,0.94,0.93,0.93,0.93,0.94,8,2905,2718.00,
500059,BINANI IND. ,B ,Q,34.50,37.45,34.25,35.90,36.10,34.25,45,4845,171407.00,
500060,BIRLACABLE  ,B ,Q,166.00,170.55,162.90,167.25,167.25,164.30,557,16757,2801150.00,
500067,BLUE STAR   ,A ,Q,615.00,615.00,603.10,610.50,613.75,608.15,32,388,235467.00,
500068,DISA INDIA  ,X ,Q,5836.00,6069.00,5836.00,6069.00,6069.00,6053.50,4,11,64593.00,
500069,BNK CAPITAL ,X ,Q,83.05,86.00,81.70,81.75,81.70,86.00,52,11346,938216.00,
500074,BPL LTD.    ,B ,Q,27.95,28.85,27.95,28.10,28.00,27.65,111,15714,447422.00,
500078,OAL         ,X ,Q,215.10,229.80,215.10,223.95,222.60,221.20,104,3713,837892.00,
500083,CENTURY EXT ,B ,Q,6.05,6.35,6.00,6.15,6.15,6.10,36,14289,87295.00,
500084,CESC LTD.   ,A ,Q,671.90,677.75,666.95,675.70,677.60,673.35,178,5860,3932652.00,
500085,CHAMBAL FERT,A ,Q,159.00,161.70,158.35,159.05,159.00,160.25,131,5227,833964.00,
500086,EXIDE IND.  ,A ,Q,213.00,219.85,212.55,217.20,217.20,213.40,1949,112696,24483288.00,
500087,CIPLA LTD.  ,A ,Q,542.55,550.95,541.45,549.05,549.05,541.75,1431,90916,49819816.00,
500089,DIC INDIA   ,B ,Q,344.00,365.30,338.00,350.00,350.00,345.00,11,147,50997.00,
500092,CRISIL LTD  ,A ,Q,1530.05,1550.00,1525.50,1532.95,1525.50,1537.80,90,458,704275.00,
500093,CGPOWER     ,A ,Q,31.40,31.90,30.80,31.50,31.50,31.20,1555,663854,20809334.00,
500096,DABUR (I)   ,A ,Q,438.00,440.00,429.60,431.80,431.80,434.20,1054,65515,28503766.00,
500097,DALMIASUG   ,B ,Q,105.00,125.00,104.40,119.45,118.80,104.20,3875,415263,50073363.00,
500101,ARVIND Ltd  ,A ,Q,75.80,76.10,74.40,75.50,75.50,75.00,712,151529,11432283.00,
500102,BALARPUR IND,B ,Q,3.80,3.80,3.50,3.52,3.52,3.60,142,249433,896083.00,
500103,BHEL        ,A ,Q,64.00,64.65,63.15,64.30,64.30,63.60,1082,336598,21588883.00,
500104,HIND.PETRO  ,A ,Q,231.90,231.90,226.20,228.20,228.20,230.40,2161,207245,47275850.00,
500106,IFCI LTD    ,A ,Q,12.90,12.90,12.60,12.72,12.72,12.71,448,113173,1444443.00,
500108,MAHA.TELE   ,B ,Q,13.30,13.35,12.91,12.98,12.98,13.39,230,79364,1041042.00,
500109,MRPL        ,A ,Q,64.45,64.45,62.70,63.65,63.65,62.90,305,41013,2606355.00,
500110,CHENNAI PET.,A ,Q,219.80,221.35,214.10,219.75,218.85,214.25,731,45335,9921214.00,
500111,REL.CAP.    ,A ,Q,166.70,167.90,161.15,163.60,163.60,163.75,10591,1161358,190900108.00,
500112,STATE BANK  ,A ,Q,271.00,271.45,268.15,270.20,270.20,270.75,4206,564769,152355501.00,
500113,STEEL AUTH. ,A ,Q,49.25,50.40,48.25,48.65,48.65,49.25,1894,940891,46235617.00,
500114,TITAN       ,A ,Q,1041.05,1053.00,1036.85,1044.50,1042.70,1040.05,990,41948,43754908.00,
500116,IDBI BANK L ,A ,Q,43.60,43.65,42.70,43.00,43.00,43.20,844,265216,11441985.00,
500117,DCW LTD.    ,B ,Q,16.80,18.55,16.40,17.70,17.70,16.05,546,120087,2129072.00,
500119,DHAMPUR SUGA,B ,Q,215.00,247.60,215.00,237.65,237.65,216.10,10829,682979,160557403.00,
500120,DIAMINES&CHM,X ,Q,90.35,93.05,86.65,92.45,91.00,88.65,70,7365,665618.00,
500123,ELANTAS     ,B ,Q,2166.55,2222.00,2166.55,2187.35,2185.00,2229.10,33,101,221738.00,
500124,DR.REDDY'S  ,A ,Q,2644.00,2693.00,2622.10,2668.25,2668.25,2637.40,2630,143682,384453733.00,
500125,E.I.D.PAR   ,A ,Q,187.00,198.30,187.00,193.25,193.25,188.45,1004,35279,6872004.00,
500126,MERCK LTD   ,B ,Q,2893.65,2946.40,2873.60,2918.60,2897.05,2904.90,670,3508,10233154.00,
500128,ELEC.CASTING,B ,Q,19.25,19.60,19.20,19.20,19.20,19.25,43,12228,235853.00,
500132,EMPEE SUGARS,XT,Q,1.05,1.05,1.05,1.05,1.05,1.00,10,3543,3720.00,
500133,ESAB INDIA  ,B ,Q,830.00,859.45,830.00,833.20,832.45,839.15,24,287,243146.00,
500135,ESSEL PROP  ,B ,Q,106.10,109.40,105.00,108.95,109.00,107.25,137,11963,1282969.00,
500136,ESTER INDUS.,B ,Q,31.55,32.50,31.35,31.35,31.35,31.30,270,19258,610934.00,
500139,FEDDERELEC  ,Z ,Q,9.35,9.35,9.35,9.35,9.35,9.84,21,6505,60821.00,
500141,FERRO ALLOYS,X ,Q,4.29,4.29,3.86,3.97,3.97,4.04,121,48704,194311.00,
500142,FGP LTD.    ,XT,Q,1.70,1.70,1.67,1.70,1.70,1.62,6,5010,8515.00,
500144,FINOL. CABLE,A ,Q,378.10,382.05,375.30,378.65,378.10,378.30,113,1553,589047.00,
500147,CMI FPE     ,X ,Q,1155.00,1174.90,1155.00,1172.70,1172.70,1155.35,26,213,249017.00,
500148,UFLEX LTD   ,A ,Q,206.25,207.00,202.45,204.15,204.15,208.30,172,5580,1140567.00,
500150,FOSECO INDIA,B ,Q,1328.05,1366.00,1328.00,1363.70,1366.00,1328.05,22,39,52946.00,
500151,GOLDEN TOB  ,T ,Q,33.50,34.00,33.50,34.00,34.00,33.50,2,300,10199.00,
500153,GANESH BENZO,X ,Q,41.90,43.75,41.20,42.15,41.80,41.45,166,26625,1133803.00,
500155,GARDEN SILK ,B ,Q,18.20,19.90,18.20,19.70,19.70,17.85,239,45588,879822.00,
500159,METROGLOBL  ,X ,Q,52.50,53.00,51.50,51.60,51.50,53.00,13,995,52049.00,
500160,GTL LTD.    ,T ,Q,4.90,4.94,4.70,4.74,4.72,4.77,32,23056,110870.00,
500163,GODFREY PH  ,A ,Q,930.10,969.80,911.00,914.05,914.05,925.40,363,10061,9271469.00,
500164,GODREJ IND  ,A ,Q,483.50,487.75,477.05,480.15,479.10,480.90,285,7348,3548605.00,
500165,KANSAI NERO ,A ,Q,445.00,459.00,440.05,451.15,451.00,442.80,425,5242,2331838.00,
500166,GOODRICKE   ,X ,Q,228.90,235.00,225.00,232.85,232.85,222.20,96,6700,1545303.00,
500168,GOODYEAR (I),B ,Q,868.95,868.95,855.00,860.55,860.00,864.10,94,1473,1266729.00,
500170,GTN INDUS   ,B ,Q,7.92,8.45,7.92,8.45,8.45,8.75,9,1265,10610.00,
500171,GHCL LTD    ,A ,Q,221.65,229.15,220.00,228.60,228.60,222.20,219,9561,2171761.00,
500173,GUJ.FLOURO  ,A ,Q,875.05,914.80,871.85,909.20,909.20,877.20,315,46831,41431589.00,
500179,HCL INFOSYS ,B ,Q,20.50,20.90,19.75,20.00,20.00,20.20,394,86225,1741745.00,
500180,HDFC BANK   ,A ,Q,2098.45,2127.50,2098.45,2123.35,2123.35,2091.65,2359,66830,141265620.00,
500182,HEROMOTOCO  ,A ,Q,2697.50,2722.00,2692.25,2710.10,2714.00,2687.35,1286,23083,62564068.00,
500183,HIMACHAL FUT,A ,Q,21.80,22.05,21.50,21.70,21.70,21.80,771,418180,9083489.00,
500184,HSCL        ,A ,Q,106.40,111.90,105.50,111.35,111.35,104.95,929,80651,8841215.00,
500185,HIND.CONSTN.,A ,Q,12.87,13.00,12.40,12.47,12.47,12.66,382,200320,2524676.00,
500186,HIND.OIL EXP,B ,Q,117.00,121.40,115.30,118.75,118.75,116.80,607,64618,7671767.00,
500187,HSIL        ,B ,Q,225.05,229.80,223.05,224.00,224.90,223.55,193,4901,1106615.00,
500188,HINDUS.ZI   ,A ,Q,262.10,263.00,258.85,261.50,261.00,259.75,610,45239,11833688.00,
500189,HINDUJA VENT,B ,Q,330.00,336.75,324.00,328.55,328.55,333.10,32,358,116877.00,
500191,HMT LTD.    ,Z ,Q,17.85,18.45,17.25,18.40,18.40,17.75,19,2255,39954.00,
500192,PRAG BOSIMI ,XT,Q,3.10,3.12,2.85,3.00,3.00,2.98,51,33924,99383.00,
500193,HOTEL LEELA.,B ,Q,11.65,11.94,11.06,11.14,11.14,11.51,245,141097,1597081.00,
500199,I.G.PETRO   ,B ,Q,246.90,255.20,240.45,252.40,250.55,247.35,186,4190,1048005.00,
500201,IND.GLYCOLS ,B ,Q,259.95,278.25,256.05,272.45,272.45,258.40,1023,30937,8427665.00,
500207,INDO RAMA   ,T ,Q,34.35,34.35,34.20,34.35,34.35,34.45,14,4635,158994.00,
500209,INFOSYS LTD ,A ,Q,735.00,757.80,735.00,754.90,754.90,733.35,5898,297704,223440703.00,
500210,INGERSOLL   ,B ,Q,568.65,570.00,558.10,560.15,561.10,569.00,129,890,500050.00,
500211,INSILCO LTD.,X ,Q,18.90,18.90,17.10,17.70,17.70,17.80,13,476,8513.00,
500213,INTER.TRAVEL,X ,Q,139.50,139.50,129.95,131.70,131.10,130.70,26,1871,251319.00,
