SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1255.05,1260.40,1224.05,1230.35,1231.95,1255.80,894,12954,15986824.00,
500003,AEGIS LOGIS ,A ,Q,192.75,196.00,188.00,191.70,194.05,192.75,1050,10351,1967806.00,
500008,AMAR RAJA BA,A ,Q,736.05,756.80,728.10,739.65,749.10,753.85,1115,37625,27931079.00,
500009,A.SARABHAI  ,X ,Q,11.86,12.25,11.17,11.98,12.25,11.62,46,14207,166472.00,
500010,HDFC        ,A ,Q,1944.00,1958.40,1936.75,1948.00,1948.00,1943.95,1163,45450,88510492.00,
500012,ANDHRA PETRO,X ,Q,51.00,52.90,49.00,50.20,50.20,51.35,322,86979,4372165.00,
500013,ANSAL INFRAS,B ,Q,10.08,10.08,9.60,9.81,9.95,10.13,74,10106,99455.00,
500014,APPLE FINANC,XT,Q,1.95,2.00,1.90,1.90,1.90,2.00,5,752,1431.00,
500020,BOM DYEING  ,B ,Q,108.95,110.95,100.80,102.85,103.00,108.30,3054,206967,21556461.00,
500023,ASIANHOTNR  ,B ,Q,137.00,145.00,137.00,145.00,145.00,138.20,3,75,10475.00,
500024,ASSAMCO     ,B ,Q,1.90,1.90,1.56,1.86,1.87,1.73,56,33835,60868.00,
500027,ATUL LTD.   ,A ,Q,3403.00,3451.50,3378.00,3420.60,3428.00,3464.10,120,639,2172946.00,
500028,ATV PROJECTS,XT,Q,6.75,7.08,6.42,6.42,6.42,6.75,17,5296,34850.00,
500029,AUTOLITE(I) ,B ,Q,28.70,29.90,28.05,28.90,28.90,29.05,51,9385,271832.00,
500031,BAJAJ ELECT.,A ,Q,484.80,484.90,471.05,479.30,479.30,487.40,588,16255,7766104.00,
500032,BAJAJHIND   ,B ,Q,7.75,7.85,7.59,7.61,7.61,7.70,148,117023,900898.00,
500033,FORCE MOTR  ,A ,Q,1377.80,1384.00,1350.00,1362.80,1362.80,1377.10,780,11819,16137152.00,
500034,BAJFINANCE  ,A ,Q,2725.00,2725.00,2630.50,2652.50,2652.50,2704.35,7311,326814,868266129.00,
500038,BALRAM.CHINI,A ,Q,107.00,108.50,106.15,106.90,106.90,106.35,2336,129017,13849394.00,
500039,BANCO PROD. ,B ,Q,169.00,170.00,167.10,169.10,169.90,168.65,38,727,122592.00,
500040,CENTURY TEXT,A ,Q,756.00,756.00,730.75,737.25,736.00,756.00,1041,45423,33493215.00,
500041,BANNARI AMAN,B ,Q,1456.00,1456.00,1456.00,1456.00,1456.00,1492.55,1,1,1456.00,
500042,BASF INDIA  ,A ,Q,1343.85,1343.85,1286.75,1294.05,1290.00,1343.05,194,915,1194120.00,
500043,BATA INDIA  ,A ,Q,1191.10,1205.60,1177.30,1186.65,1186.65,1192.05,2058,90731,108150448.00,
500048,BEML LTD    ,A ,Q,789.70,792.00,761.15,784.00,784.00,782.60,2043,89956,69981754.00,
500049,BHARAT ELECT,A ,Q,80.00,80.00,75.95,76.80,76.80,80.10,2108,559146,43054593.00,
500052,BHANSALI ENG,B ,Q,69.00,69.00,65.55,66.00,65.55,68.95,329,21950,1464102.00,
500055,TATASTLBSL  ,T ,Q,29.70,30.05,28.30,28.60,28.50,29.65,298,131920,3802132.00,
500058,BIHAR SPONGE,XT,Q,1.03,1.03,1.03,1.03,1.03,1.05,2,200,206.00,
500059,BINANI IND. ,B ,Q,34.30,36.15,34.00,34.20,34.00,34.80,61,3477,121243.00,
500060,BIRLACABLE  ,B ,Q,178.90,182.75,163.15,169.05,169.05,177.30,583,21092,3707139.00,
500067,BLUE STAR   ,A ,Q,586.50,595.50,578.00,586.80,582.25,588.85,176,1236,729229.00,
500068,DISA INDIA  ,X ,Q,6122.00,6325.00,6000.05,6043.90,6000.05,6128.00,19,66,401543.00,
500069,BNK CAPITAL ,X ,Q,90.40,90.50,90.25,90.25,90.25,92.00,13,5781,521877.00,
500074,BPL LTD.    ,B ,Q,27.05,27.05,26.40,26.85,26.80,27.20,44,4171,111588.00,
500078,OAL         ,X ,Q,236.00,244.95,232.00,233.85,234.00,239.20,92,2442,576398.00,
500083,CENTURY EXT ,B ,Q,6.85,6.85,6.65,6.65,6.65,6.81,18,16394,110533.00,
500084,CESC LTD.   ,A ,Q,693.00,694.00,672.50,676.25,675.00,695.25,486,10047,6821417.00,
500085,CHAMBAL FERT,A ,Q,170.80,174.00,168.00,170.00,170.00,169.65,374,12397,2108034.00,
500086,EXIDE IND.  ,A ,Q,211.00,211.55,205.10,208.70,208.70,211.30,821,68881,14377552.00,
500087,CIPLA LTD.  ,A ,Q,538.00,545.00,536.00,543.50,543.50,535.05,2652,117122,63500420.00,
500092,CRISIL LTD  ,A ,Q,1621.00,1621.00,1550.00,1557.00,1552.55,1648.30,118,473,747795.00,
500093,CGPOWER     ,A ,Q,36.90,36.90,33.35,34.30,34.30,35.20,1228,468998,16054218.00,
500096,DABUR (I)   ,A ,Q,452.65,452.65,442.20,448.55,448.55,451.10,796,43506,19416001.00,
500097,DALMIASUG   ,B ,Q,90.85,93.05,89.10,91.20,91.20,91.85,144,5560,511175.00,
500101,ARVIND Ltd  ,A ,Q,81.40,82.10,78.80,79.55,80.00,81.40,1047,167394,13431248.00,
500102,BALARPUR IND,B ,Q,3.99,4.25,3.50,3.62,3.62,3.87,326,263289,1007389.00,
500103,BHEL        ,A ,Q,62.00,63.10,60.90,62.60,62.60,61.90,3275,665138,41362135.00,
500104,HIND.PETRO  ,A ,Q,230.00,233.35,224.90,231.50,231.50,230.50,1567,172731,39510382.00,
500106,IFCI LTD    ,A ,Q,12.60,12.60,12.21,12.39,12.50,12.59,309,104651,1294895.00,
500108,MAHA.TELE   ,B ,Q,12.10,12.55,12.10,12.28,12.30,12.19,274,71345,877477.00,
500109,MRPL        ,A ,Q,65.30,65.30,63.20,64.05,63.90,65.35,619,55150,3521839.00,
500110,CHENNAI PET.,A ,Q,220.00,221.65,213.15,217.20,217.20,222.40,535,25734,5557984.00,
500111,REL.CAP.    ,A ,Q,133.25,138.00,129.60,134.90,134.90,129.25,24388,3141056,420748594.00,
500112,STATE BANK  ,A ,Q,286.00,286.00,279.00,279.80,279.80,285.05,4908,616744,173603271.00,
500113,STEEL AUTH. ,A ,Q,44.80,45.35,44.10,44.80,44.80,44.90,1920,1071504,47916370.00,
500114,TITAN       ,A ,Q,1059.60,1060.15,1045.10,1055.85,1056.20,1053.90,1369,38277,40314399.00,
500116,IDBI BANK L ,A ,Q,43.45,44.40,41.70,43.05,43.05,43.30,1605,837024,35583042.00,
500117,DCW LTD.    ,B ,Q,13.55,14.20,13.15,14.05,14.05,13.60,122,33730,467822.00,
500119,DHAMPUR SUGA,B ,Q,178.10,179.20,172.90,174.10,174.10,177.70,859,45060,7951312.00,
500120,DIAMINES&CHM,X ,Q,115.05,116.45,111.65,116.20,116.00,115.55,33,848,97597.00,
500123,ELANTAS     ,B ,Q,2124.00,2153.85,2056.70,2068.60,2068.60,2123.55,29,295,617913.00,
500124,DR.REDDY'S  ,A ,Q,2670.00,2704.70,2555.55,2616.95,2616.95,2772.30,7111,112735,295553014.00,
500125,E.I.D.PAR   ,A ,Q,192.40,193.10,187.70,188.85,190.30,194.35,279,13761,2635629.00,
500126,MERCK LTD   ,B ,Q,3290.00,3374.15,3243.65,3276.45,3276.45,3308.90,759,2106,6973755.00,
500128,ELEC.CASTING,B ,Q,20.00,20.35,19.50,19.80,19.55,20.15,118,21976,438974.00,
500132,EMPEE SUGARS,XT,Q,1.09,1.15,1.09,1.09,1.09,1.14,10,2250,2487.00,
500133,ESAB INDIA  ,B ,Q,846.05,846.05,830.00,840.20,830.00,862.90,24,318,266382.00,
500135,ESSEL PROP  ,B ,Q,108.20,108.20,104.10,105.35,108.00,109.05,65,2109,221682.00,
500136,ESTER INDUS.,B ,Q,30.10,30.80,30.00,30.10,30.05,30.00,28,3682,111059.00,
500139,FEDDERELEC  ,Z ,Q,10.35,10.35,10.35,10.35,10.35,10.89,2,400,4140.00,
500141,FERRO ALLOYS,X ,Q,3.73,3.98,3.53,3.68,3.54,3.97,95,24699,91679.00,
500144,FINOL. CABLE,A ,Q,391.20,395.95,386.50,390.35,388.00,391.10,114,2330,911150.00,
500147,CMI FPE     ,X ,Q,1140.00,1154.50,1103.05,1143.70,1140.45,1144.10,159,3650,4134000.00,
500148,UFLEX LTD   ,A ,Q,246.65,246.95,238.65,239.10,239.30,249.60,227,12208,2947912.00,
500150,FOSECO INDIA,B ,Q,1351.00,1367.00,1300.00,1358.00,1358.00,1364.00,20,91,121673.00,
500151,GOLDEN TOB  ,T ,Q,36.00,38.25,36.00,38.25,38.25,36.45,4,1170,42492.00,
500153,GANESH BENZO,X ,Q,47.00,47.00,45.10,45.65,45.50,45.75,105,11900,544703.00,
500155,GARDEN SILK ,B ,Q,16.35,17.80,16.35,17.40,17.40,17.05,72,10767,184309.00,
500159,METROGLOBL  ,X ,Q,47.30,61.95,47.30,53.25,59.70,54.85,24,5858,342319.00,
500160,GTL LTD.    ,T ,Q,4.35,4.50,4.30,4.32,4.30,4.50,20,4211,18254.00,
500163,GODFREY PH  ,A ,Q,931.00,931.00,906.60,911.95,911.95,931.75,340,10546,9644141.00,
500164,GODREJ IND  ,A ,Q,491.00,498.45,483.00,490.45,490.65,493.45,596,27416,13510687.00,
500165,KANSAI NERO ,A ,Q,463.05,465.00,454.25,458.20,456.00,468.75,180,1897,871442.00,
500166,GOODRICKE   ,X ,Q,243.00,243.00,232.80,235.50,233.10,241.95,84,4386,1034542.00,
500168,GOODYEAR (I),B ,Q,890.25,907.75,890.25,899.25,900.55,900.45,78,949,854229.00,
500170,GTN INDUS   ,B ,Q,8.85,9.25,8.56,9.25,9.25,8.51,5,147,1271.00,
500171,GHCL LTD    ,A ,Q,243.00,243.95,229.60,230.60,230.00,242.25,269,10036,2360013.00,
500173,GUJ.FLOURO  ,A ,Q,869.00,874.40,850.05,860.95,858.20,875.85,216,1594,1370624.00,
500179,HCL INFOSYS ,B ,Q,17.10,17.10,15.90,16.55,16.65,16.95,292,61652,1018743.00,
500180,HDFC BANK   ,A ,Q,2123.00,2140.00,2114.00,2137.35,2136.00,2123.15,3773,352024,747864253.00,
500182,HEROMOTOCO  ,A ,Q,2927.65,2927.65,2805.15,2883.05,2883.05,2932.35,2725,28258,81108800.00,XD
500183,HIMACHAL FUT,A ,Q,22.20,22.25,21.30,21.60,21.60,22.15,1236,508287,10951071.00,
500184,HSCL        ,A ,Q,112.65,113.60,109.95,112.05,112.00,112.90,677,42308,4725101.00,
500185,HIND.CONSTN.,A ,Q,11.29,11.44,10.97,11.24,11.24,11.34,288,218378,2444449.00,
500186,HIND.OIL EXP,B ,Q,106.50,107.00,105.25,105.90,107.00,107.50,183,15267,1619380.00,
500187,HSIL        ,B ,Q,235.05,240.10,232.95,237.35,237.50,238.00,253,6629,1574019.00,
500188,HINDUS.ZI   ,A ,Q,247.05,252.15,246.25,249.15,249.00,250.00,443,24760,6168594.00,
