SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1267.00,1275.00,1237.65,1256.45,1256.45,1248.70,710,63478,80014240.00,
500003,AEGIS LOGIS ,A ,Q,191.05,194.30,187.75,189.60,192.00,192.45,551,7968,1510654.00,
500008,AMAR RAJA BA,A ,Q,739.00,747.15,734.55,737.85,739.70,740.55,545,11469,8485887.00,
500009,A.SARABHAI  ,X ,Q,12.00,12.41,11.85,12.29,12.10,12.11,28,2405,28959.00,
500010,HDFC        ,A ,Q,1920.20,1927.75,1894.50,1901.15,1901.15,1925.55,1219,29665,56556598.00,
500012,ANDHRA PETRO,X ,Q,50.70,51.90,47.75,51.00,51.50,50.65,268,62445,3151367.00,
500013,ANSAL INFRAS,B ,Q,9.95,10.24,9.74,9.93,9.90,10.18,33,8353,83566.00,
500014,APPLE FINANC,XT,Q,1.71,1.80,1.71,1.71,1.71,1.80,3,147,251.00,
500020,BOM DYEING  ,B ,Q,105.00,107.85,103.85,105.55,105.25,105.40,870,101831,10736715.00,
500024,ASSAMCO     ,B ,Q,2.23,2.23,2.23,2.23,2.23,2.13,35,66098,147398.00,
500027,ATUL LTD.   ,A ,Q,3380.00,3430.70,3352.00,3382.00,3352.00,3384.30,145,3662,12501544.00,
500028,ATV PROJECTS,XT,Q,6.20,6.51,6.20,6.51,6.51,6.20,16,1527,9940.00,
500029,AUTOLITE(I) ,B ,Q,29.35,31.45,29.35,29.55,29.50,30.00,8,606,18004.00,
500031,BAJAJ ELECT.,A ,Q,459.50,461.60,438.10,441.15,447.00,455.75,972,14369,6389797.00,
500032,BAJAJHIND   ,B ,Q,6.90,7.33,6.76,7.17,7.17,6.89,344,296224,2084895.00,
500033,FORCE MOTR  ,A ,Q,1372.00,1380.00,1350.25,1366.80,1366.80,1358.80,1226,13616,18599558.00,
500034,BAJFINANCE  ,A ,Q,2589.95,2620.75,2559.60,2607.15,2607.15,2590.50,3257,76941,199825763.00,
500038,BALRAM.CHINI,A ,Q,112.50,118.00,110.50,117.45,117.45,112.00,4254,548068,63510599.00,
500039,BANCO PROD. ,B ,Q,152.50,156.50,152.10,155.95,156.50,154.30,60,2340,362712.00,
500040,CENTURY TEXT,A ,Q,726.05,744.40,719.15,735.90,735.90,727.15,923,38761,28325387.00,
500042,BASF INDIA  ,A ,Q,1260.15,1280.00,1245.00,1267.30,1263.05,1260.15,121,402,506714.00,
500043,BATA INDIA  ,A ,Q,1260.10,1282.65,1248.85,1257.95,1257.95,1271.40,4878,216755,273537300.00,
500048,BEML LTD    ,A ,Q,754.65,787.50,750.75,783.60,783.60,759.00,2178,87627,67848029.00,
500049,BHARAT ELECT,A ,Q,75.00,76.40,72.55,74.65,74.65,74.45,2951,780651,58164280.00,
500052,BHANSALI ENG,B ,Q,65.75,65.75,62.20,63.20,63.20,64.00,1169,108268,6804492.00,
500055,TATASTLBSL  ,T ,Q,27.55,28.10,26.65,27.50,27.50,27.90,357,96471,2620033.00,
500058,BIHAR SPONGE,XT,Q,0.99,0.99,0.98,0.98,0.98,0.99,7,2839,2805.00,
500059,BINANI IND. ,B ,Q,32.10,33.85,31.85,32.60,33.05,32.80,35,4809,156851.00,
500060,BIRLACABLE  ,B ,Q,153.00,159.25,151.00,158.10,157.15,153.80,851,18615,2901450.00,
500067,BLUE STAR   ,A ,Q,589.50,592.75,582.00,585.35,582.00,587.40,179,1164,685342.00,
500068,DISA INDIA  ,X ,Q,5921.00,5990.00,5910.00,5961.50,5933.00,5929.70,7,8,47573.00,
500069,BNK CAPITAL ,X ,Q,87.30,87.30,85.00,85.00,85.00,87.35,11,13639,1175549.00,
500074,BPL LTD.    ,B ,Q,24.00,24.20,23.00,23.85,24.15,23.75,223,28947,681120.00,
500078,OAL         ,X ,Q,213.00,221.50,179.00,208.30,207.95,212.25,276,17873,3562098.00,
500083,CENTURY EXT ,B ,Q,6.25,6.25,6.15,6.19,6.20,6.16,10,3410,21169.00,
500084,CESC LTD.   ,A ,Q,686.00,686.00,673.35,679.65,681.55,691.45,248,6454,4380202.00,
500085,CHAMBAL FERT,A ,Q,166.35,168.80,163.05,163.85,163.85,169.00,266,13527,2237081.00,
500086,EXIDE IND.  ,A ,Q,207.50,210.25,204.20,209.25,210.00,206.95,3452,176200,36710212.00,
500087,CIPLA LTD.  ,A ,Q,545.00,555.05,538.35,542.80,542.80,543.50,2839,161926,88559248.00,
500089,DIC INDIA   ,B ,Q,326.00,340.00,319.00,326.00,326.00,329.40,14,52,17180.00,
500092,CRISIL LTD  ,A ,Q,1635.00,1645.00,1617.10,1628.90,1625.00,1635.90,92,3700,6047971.00,
500093,CGPOWER     ,A ,Q,22.00,29.95,21.40,29.05,29.05,23.75,44433,17660051,487740824.00,
500096,DABUR (I)   ,A ,Q,439.00,444.30,437.60,440.45,440.45,439.20,641,28710,12681919.00,
500097,DALMIASUG   ,B ,Q,97.55,99.70,95.60,97.90,99.50,95.95,295,18346,1795677.00,
500101,ARVIND Ltd  ,A ,Q,78.35,81.70,77.05,81.20,81.00,78.35,913,158572,12610261.00,
500102,BALARPUR IND,B ,Q,3.75,3.88,3.60,3.65,3.65,3.75,179,176747,655527.00,
500103,BHEL        ,A ,Q,60.05,62.75,60.05,62.20,62.20,60.85,2130,703508,43379713.00,
500104,HIND.PETRO  ,A ,Q,219.40,222.40,213.50,220.50,220.50,225.40,4292,447201,97215996.00,
500106,IFCI LTD    ,A ,Q,12.10,12.50,11.82,12.46,12.46,12.22,1076,345237,4214384.00,
500108,MAHA.TELE   ,B ,Q,11.95,12.05,11.82,11.95,11.95,12.03,209,134938,1606874.00,
500109,MRPL        ,A ,Q,63.30,64.75,62.90,64.10,64.75,63.30,441,92272,5863574.00,
500110,CHENNAI PET.,A ,Q,208.50,214.80,207.35,212.50,212.20,213.20,518,28434,6012764.00,
500111,REL.CAP.    ,A ,Q,140.00,151.00,133.40,147.60,147.60,138.85,20877,2826927,406972325.00,
500112,STATE BANK  ,A ,Q,268.50,268.65,264.00,267.05,267.05,268.25,9278,1325699,353207103.00,
500113,STEEL AUTH. ,A ,Q,46.00,46.60,45.15,46.25,46.25,46.00,2655,1693764,77842360.00,
500114,TITAN       ,A ,Q,1048.00,1060.00,1032.00,1044.70,1044.70,1052.20,2721,442522,463514270.00,
500116,IDBI BANK L ,A ,Q,43.00,45.95,43.00,45.15,45.15,43.20,1047,396008,17557862.00,
500117,DCW LTD.    ,B ,Q,14.00,14.70,13.55,14.50,14.50,14.20,201,44288,633785.00,
500119,DHAMPUR SUGA,B ,Q,187.00,194.80,186.05,192.30,192.30,185.25,2491,139424,26644578.00,
500120,DIAMINES&CHM,X ,Q,96.00,101.00,88.75,90.65,90.85,96.75,150,15923,1483208.00,
500123,ELANTAS     ,B ,Q,2050.00,2099.95,2049.95,2086.95,2099.95,2088.50,8,35,72599.00,
500124,DR.REDDY'S  ,A ,Q,2626.00,2676.60,2618.40,2669.30,2669.30,2651.70,801,13081,34666153.00,
500125,E.I.D.PAR   ,A ,Q,191.50,195.50,188.95,190.70,190.70,190.85,393,14213,2728766.00,
500126,MERCK LTD   ,B ,Q,3222.80,3236.00,3161.20,3175.80,3170.00,3237.70,180,855,2720804.00,
500128,ELEC.CASTING,B ,Q,18.35,19.25,18.35,19.00,19.00,18.85,60,6976,132222.00,
500132,EMPEE SUGARS,XT,Q,1.14,1.14,1.04,1.04,1.04,1.09,10,4000,4170.00,
500135,ESSEL PROP  ,B ,Q,106.20,109.75,105.50,109.60,109.75,106.50,41,1845,196979.00,
500136,ESTER INDUS.,B ,Q,29.25,31.45,29.25,30.80,30.80,30.95,60,4623,143767.00,
500141,FERRO ALLOYS,X ,Q,3.80,3.90,3.43,3.61,3.61,3.77,90,55822,207890.00,
500142,FGP LTD.    ,XT,Q,1.35,1.35,1.35,1.35,1.35,1.33,1,18,24.00,
500144,FINOL. CABLE,A ,Q,372.15,379.00,371.65,375.95,376.00,373.40,571,12716,4789682.00,
500147,CMI FPE     ,X ,Q,1100.00,1125.00,1095.00,1114.35,1114.35,1092.85,94,1112,1232552.00,
500148,UFLEX LTD   ,A ,Q,222.15,222.15,212.80,214.45,214.45,223.55,377,10009,2159678.00,
500150,FOSECO INDIA,B ,Q,1332.00,1350.05,1311.00,1340.90,1330.00,1341.30,16,93,124696.00,
500151,GOLDEN TOB  ,T ,Q,37.25,40.95,37.25,40.95,40.95,39.20,2,200,7820.00,
500153,GANESH BENZO,X ,Q,43.00,45.50,42.50,43.70,43.55,43.70,147,11600,505693.00,
500155,GARDEN SILK ,B ,Q,16.70,16.70,16.05,16.35,16.30,16.65,32,3861,63217.00,
500159,METROGLOBL  ,X ,Q,59.70,59.70,49.00,55.75,55.75,53.10,13,3572,196961.00,
500160,GTL LTD.    ,T ,Q,4.54,4.54,4.40,4.54,4.54,4.33,29,19755,89658.00,
500163,GODFREY PH  ,A ,Q,861.05,880.70,861.05,875.35,875.20,868.05,499,10327,9027786.00,
500164,GODREJ IND  ,A ,Q,499.00,499.00,472.60,490.55,489.80,489.55,1703,54561,26420738.00,
500165,KANSAI NERO ,A ,Q,454.15,460.00,447.00,457.00,455.00,452.10,261,3193,1447253.00,
500166,GOODRICKE   ,X ,Q,215.05,221.00,214.15,215.90,215.90,220.45,137,8276,1789269.00,
500168,GOODYEAR (I),B ,Q,860.00,875.00,842.00,873.50,873.50,852.25,170,1964,1696471.00,
500170,GTN INDUS   ,B ,Q,8.50,8.50,8.10,8.11,8.11,8.89,6,638,5211.00,
500171,GHCL LTD    ,A ,Q,220.10,228.00,220.00,225.10,228.00,222.20,258,5582,1249909.00,
500173,GUJ.FLOURO  ,A ,Q,882.00,894.55,868.45,875.10,875.00,881.30,357,4771,4174150.00,
500179,HCL INFOSYS ,B ,Q,16.30,16.80,16.15,16.65,16.65,16.60,247,54577,901660.00,
500180,HDFC BANK   ,A ,Q,2140.00,2140.00,2107.10,2109.75,2109.75,2140.25,1786,72757,153942294.00,
500182,HEROMOTOCO  ,A ,Q,2776.00,2889.00,2730.05,2778.85,2778.85,2756.85,2973,43629,122790469.00,
500183,HIMACHAL FUT,A ,Q,21.50,21.65,21.05,21.60,21.60,21.55,787,328778,7052568.00,
500184,HSCL        ,A ,Q,110.05,110.70,107.90,108.95,108.95,110.00,437,26526,2899598.00,
500185,HIND.CONSTN.,A ,Q,11.55,12.04,11.42,11.91,11.83,11.55,398,212320,2501329.00,
500186,HIND.OIL EXP,B ,Q,110.00,122.85,108.50,115.45,115.45,109.95,727,48315,5522786.00,
500187,HSIL        ,B ,Q,229.35,232.60,227.00,227.90,227.90,230.95,398,17843,4115331.00,
500188,HINDUS.ZI   ,A ,Q,248.00,250.10,245.50,247.10,247.50,248.30,428,29060,7187690.00,
500189,HINDUJA VENT,B ,Q,312.05,319.60,312.05,315.20,312.30,315.15,24,267,84568.00,
500191,HMT LTD.    ,Z ,Q,16.90,16.90,15.85,16.90,16.90,16.10,26,8432,140539.00,
500192,PRAG BOSIMI ,XT,Q,2.75,2.95,2.75,2.75,2.75,2.81,4,3418,9499.00,
500193,HOTEL LEELA.,B ,Q,13.00,13.25,12.31,12.42,12.42,12.65,195,79795,1003891.00,
500199,I.G.PETRO   ,B ,Q,255.10,268.90,251.75,253.80,253.80,249.70,471,9759,2499945.00,
500201,IND.GLYCOLS ,B ,Q,241.55,258.00,241.55,254.50,254.50,247.70,774,28163,7106511.00,
500207,INDO RAMA   ,T ,Q,33.80,34.50,33.80,34.05,34.05,34.05,22,6751,229494.00,
500209,INFOSYS LTD ,A ,Q,753.00,753.00,738.00,739.80,739.80,754.95,3443,171101,127592534.00,
500210,INGERSOLL   ,B ,Q,539.10,541.25,515.20,520.15,520.15,539.45,483,8223,4312080.00,
500211,INSILCO LTD.,X ,Q,17.15,17.60,17.00,17.25,17.25,17.60,11,2144,36614.00,
500212,INTEG.FIN.SE,XT,Q,32.50,32.50,32.50,32.50,32.50,31.00,1,1,32.00,
500213,INTER.TRAVEL,X ,Q,130.00,135.90,129.05,131.15,134.90,133.60,46,1336,174171.00,
500214,ION EXCHANGE,XT,Q,365.10,376.75,365.10,376.30,375.00,370.00,51,1232,456408.00,
500215,AGRO TECH FO,B ,Q,569.45,586.00,560.00,569.85,580.00,545.55,11,24,13676.00,
500219,JAIN IRRIG  ,A ,Q,51.05,56.60,50.45,55.60,55.60,51.20,3898,2082741,111425818.00,
500220,JASCH INDUST,X ,Q,49.10,51.00,47.05,48.70,48.20,51.05,98,11028,540946.00,
500223,JCT LTD     ,X ,Q,1.58,1.58,1.41,1.43,1.42,1.41,96,50251,72533.00,
500227,JINDAL POLYF,B ,Q,227.10,232.55,225.70,227.95,228.00,230.25,73,1328,302796.00,
500228,JSWSL       ,A ,Q,270.90,282.00,264.25,280.45,281.50,270.90,3254,452669,122865868.00,
500231,UMANG DAIR  ,B ,Q,47.50,47.95,47.15,47.80,47.95,47.95,15,800,38139.00,
500233,KAJARIA CER.,A ,Q,511.00,520.95,504.70,516.35,520.95,509.50,557,12424,6369081.00,
500234,KAKATIYA CEM,B ,Q,154.90,157.45,151.05,153.65,154.80,154.90,336,8737,1352980.00,
500235,KALYANI STEL,B ,Q,188.90,191.50,187.55,189.55,191.50,188.60,199,5412,1026285.00,
500238,WHIRLPOOL   ,A ,Q,1389.90,1405.00,1350.00,1358.20,1358.20,1396.75,367,2334,3225882.00,
500239,KG DENIM    ,X ,Q,44.50,45.40,44.50,44.55,44.55,45.25,33,6865,306073.00,
500240,KINETIC ENG.,X ,Q,31.20,32.40,30.20,31.40,31.00,35.25,115,18373,573187.00,
500241,KIRL.BROS.  ,B ,Q,136.95,139.30,132.00,138.05,136.70,137.85,117,2707,368424.00,
500243,KIRL INDUS  ,B ,Q,807.00,807.00,747.45,755.00,755.00,782.05,10,47,35374.00,
500245,KIRL.FERROUS,B ,Q,88.90,89.50,86.20,87.15,87.15,88.60,180,20784,1823012.00,
500246,ENVAIN ELECT,X ,Q,41.00,41.00,41.00,41.00,41.00,40.50,2,50,2050.00,
500247,KOTAK MAH.BK,A ,Q,1298.10,1303.10,1272.75,1288.35,1288.35,1298.40,1059,27419,35239240.00,
500249,KSB         ,B ,Q,650.10,662.50,650.00,660.00,660.00,656.05,16,51,33373.00,
500250,L.G.BALKRISH,B ,Q,400.05,400.05,390.05,391.70,391.15,402.00,79,2410,949170.00,
500251,TRENT LTD.  ,A ,Q,341.10,344.00,340.00,341.50,342.80,343.55,345,2864,979289.00,
500252,LAXMIMACH   ,A ,Q,5498.00,5589.00,5498.00,5551.10,5569.40,5553.95,63,194,1072438.00,
500253,LIC HOUS.FIN,A ,Q,441.40,449.70,439.95,447.05,447.05,441.25,1028,68497,30443219.00,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,14,13161,2500.00,
